key	text	english
circumcision	安提阿的割礼问题，耶路撒冷会议公元 49 年	Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.
missionary2	第二次传教之旅 c．公元 49-52 年与塞拉斯 (Silvanus)	Second Missionary Journey c. 49-52 C.E with Silas (Silvanus)
missionary3	第三次传教之旅 c．公元 52-56 年	Third Missionary Journey c. 52-56 C.E.
caesarea	保罗在该撒利亚被监禁 c.公元 56-58 年	Paul in custody in Caesarea c. 56-58 C.E.
rome1	保罗在罗马第一次被监禁 c.公元 59-61 年	Paul’s first imprisonment in Rome c. 59-61 C.E.
rome2	保罗在罗马第二次被监禁 c.公元 65 年，《提摩太后书》写成，保罗被处决	Paul’s second imprisonment in Rome c. 65 CE, 2 Timothy written, Paul executed
Julius	朱利叶斯	Julius
Augustus	奥古斯都	Augustus
Tiberius	提比略	Tiberius
Caligula	卡里古拉	Caligula
Claudius	克劳狄乌斯	Claudius
Nero	尼禄	Nero
Galba-Otho-Vitellius	加尔巴、奥托和维特里乌斯（四皇帝年）	Galba, Otho and Vitellius (Year of the Four Emperors)
Vespasian	维斯帕芗	Vespasian
event_exodus	公元前 1513 年尼散月 14 日，人们离开埃及	Exodus from Egypt on Nisan 14th, 1513 B.C.E.
event_division_kingdom	公元前 997 年以色列分裂	Division of Israel 997 BCE
event_destruction_samaria	公元前 740 年撒玛利亚被毁亚述	Destruction of Samaria 740 B.C.E. by Assyria
event_destruction_samaria2	公元前 740 年亚述	740 B.C.E. by Assyria
event_destruction_jerusalem1	公元前 607 年耶路撒冷被毁巴比伦王国分裂后 390 年（以西结书 4:5）	Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)
event_temple_rebuilt	耶路撒冷圣殿于公元前 515 年重建。	Temple in Jerusalem rebuilt 515 B.C.E.
event_jerusalem_rebuilt	耶路撒冷城墙于公元前 455 年重建	Jerusalem wall rebuilt 455 B.C.E.
event_destruction_jerusalem2	公元 70 年，提图斯领导下的罗马摧毁了耶路撒冷	Destruction of Jerusalem 70 C.E. by Rome under Titus
event_1914	公元 1914 年，万国时代结束后，神的国度开始在天上统治。	End of the time of the nations, Gods kingdom starts to rule in heaven 1914 C.E. 
became_king	年长成为国王	became king at age
vulgate	杰罗姆完成的武加大译本（圣经的拉丁文译本） c．公元 405 年	Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E.
gutenberg	古腾堡圣经印刷于 1455 年	Gutenberg bible printed 1455
erasmus	鹿特丹的德西德里乌斯·伊拉斯谟于 1516 年出版的《希腊语经卷》希腊语文本	Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516
luther	1522 年 9 月路德圣经翻译	Luther Bible translation in September 1522
tyndale	廷代尔 (Tyndale) 1536 年英文圣经翻译	English Bible translation by Tyndale 1536
king_james	英皇钦定版圣经 1611	King James Bible 1611
69weeks3	耶稣于公元 29 年开始侍奉（路加福音 3:1, 21）	Jesus starts his service 29 CE (Luke 3:1, 21)
ransom	周中“牺牲以停止”但以理书 9:27	middle of week “sacrifice to cease” Daniel 9:27
cornelius	公元 36 年，哥尼流在 70 周结束时施洗（但以理书 9:24）。	Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E.
columbus	1492 年美洲前哥伦布时期结束	end of the pre-columbian period in the Americas 1492
declaration_independence	1776年美洲13个殖民地宣布独立	declaration of independence of 13 colonies in America 1776
tischendorf	蒂申多夫 (Tischendorf) 于 1844 年发现了 4 世纪的西奈抄本	Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844
dead_sea_scrolls	死海古卷书写	Dead Sea Scrolls written
septuagint	七十士译本七十士译本	Septuagint LXX translated
watchtower	第一期《锡安的守望台和基督临在的先驱》于 1879 年出版	The first issue of “Zion’s Watch Tower and Herald of Christ’s Presence” is published in 1879
photodrama	1914年1月11日，《创世摄影剧》在纽约首演	The “Photo-Drama of Creation” is first shown in New York on January 11, 1914
jehovahs_witnesses	圣经研究者采用了一个新名称——耶和华见证人。 1931 年，俄亥俄州哥伦布市	The Bible Students adopted a new name – Jehovah’s Witnesses. In Columbus, Ohio, 1931
gilead_school	守望台基列圣经学校于 1943 年 2 月 1 日星期一开始	Watchtower Bible School of Gilead began on Monday, February 1, 1943
new_world_translation1	1960年6月18日《圣经新世界译本》在英国曼彻斯特出版	“New World Translation of the Holy Scriptures” released in Manchester, England on June 18, 1960
truth_book	1968年出版《通往永生的真理》一书	The book “The Truth That Leads to Eternal Life” released 1968
metropolitan	2011年开始大都会见证	Start of metropolitan witnessing in 2011
jw_org	JW.ORG 启动，并于 2012 年 12 月接受王国事工指示	Start of JW.ORG with instructions in kingdom ministry December 2012
new_world_translation2	2013年年会发布修订版《圣经新世界译本》	Revised “New World Translation of the Holy Scriptures” released at annual meeting 2013
jw_broadcasting	2014年10月jw.broadcasting开始	Start of jw.broadcasting in October 2014
meeting_workbook	2016 年 1 月开始采用“会议工作簿”的周中会议新形式	New format of midweek meeting with “meeting workbook” starting January 2016
covid19	全球 Covid-19 大流行导致封锁、隔离和 Zoom 会议	Global Covid-19 pandemic leads to lockdowns, quarantine and zoom-meetings
cold_war	1945-1991年被贴上“冷战”标签的地缘政治局势	Geopolitical situation labeled “Cold War” 1945-1991
timeline_created	这条时间线创建于2023年，这是人类历史上最热的一年，也是过去125,000年	This timeline was created in 2023, the hottest year in human history and the last 125,000 years
codex_sinaiticus	西奈抄本成文	Codex Sinaiticus written
codex_vaticanus	梵蒂冈法典成文	Codex Vaticanus written
leningrad_codex	列宁格勒抄本于公元 1008 年开罗编写	Leningrad Codex written in Cairo AD 1008
john	公元 96-98 年，约翰在被放逐到拔摩岛时写下了《启示录》。	John writes “revelation” while exiled on Patmos 96-98 C.E.
nicaea1	第一次尼西亚大公会议	First Council of Nicaea
buddha	佛陀 – 悉达多·乔达摩 c.563-c.483 B.C.E	The Buddha – Siddhartha Gautama c.563-c.483 B.C.E
buddha2	佛陀或者c.公元前 480-400 年	Buddha alternatively c. 480-400 B.C.E.
mohammed	穆罕默德 C.公元 570-632 年	Mohammed c. 570-632 C.E.
confucius	孔子（公元前 551 年至公元前 479 年）	Confucius c.551-c.479 B.C.E.
hijrah	迁徙 - 麦加到麦地那之旅 622 年 7 月 16 日	Hijrah - Journey Mecca to Medina 16 July 622
moses_escape	公元前 1553 年摩西必须逃离埃及 – 出埃及记 2:15，使徒行传 7:23	1553 B.C.E. Moses has to escape Egypt – Exodus 2:15, Acts 7:23
10plagues	公元前 1513 年，埃及遭遇 10 场瘟疫	1513 B.C.E Egypt receives 10 plagues
joseph_sold	约瑟 17 岁时被卖为奴隶 – 创 37:2	Joseph sold as slave at the age of 17 – Gen 37:2
infliction	400 年的折磨（使徒行传 7:6）——以实玛利 1913 B.C.E	400 year infliction (Acts 7:6) – Ishmael 1913 B.C.E
Alexander	亚历山大大帝（但以理书 11:3）	Alexander the Great (Daniel 11:3)
persia	居鲁士大帝、冈比西斯二世、大流士一世（公元前 490 年）、薛西斯一世（公元前 480 年）（以斯帖的丈夫，但以理书 11:2）	Cyrus the Great, Cambyses II, Darius I 490 BCE, Xerxes I 480 BCE (husband of Esther, Daniel 11:2)
persia2	波斯	Persia
king_north	塞琉古一世尼卡托 (v5) 叙利亚到安条克三世 (v10) 和塞琉古四世 (v18, 19) 到屋大维 (v20) 和提比略 (v21-24)	Seleucus I Nicator (v5) Syria to Antiochus III (v10) and Seleucus IV (v18, 19) down to Octavian (v20) and Tiberius (v21-24)
king_north1	北方之王	King of the North
king_south	托勒密一世、二世、三世、四世 (v11, 12)、五世 (v15, 16) 至公元前 31 年亚克兴战役	Ptolemy I, II, III, IV (v11, 12), V (v15, 16) to the battle Actium 31 B.C.E.
king_south1	南方之王	King of the South
king_south2	1870 年大英帝国，1914 年以来英美世界强国	British empire 1870, Anglo-American World Power since 1914
king_south3	南方之王	King of the South
king_north2	德国威廉一世皇帝 1871 年 (v28)、1914 年 (v29)、1935 年 (v30b)、1939 年 (v31a)	Germany with Emperor William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)
king_north3	北	North
king_north4	Sowjetunion 1945-1991（但以理书 11:32-39, 40 b, 41）	Sowjet Union 1945-1991 (Daniel 11:32-39, 40b, 41)
king_north5	2017 年起俄罗斯（5 月 20 日）	Russia since 2017 (w20 May)
time_of_end	基督的临在、事物制度的终结（太 24:3）、末后的日子（2Ti 3:1）	Presence of Christ, Conclusion of the system of things (Matt 24:3), the last days (2Ti 3:1)
time_of_end2	最后一天	last days
suryavaman2	国王苏利耶跋摩二世 (Suryavarman II) 建造吴哥窟 1113-1150 年	King Suryavarman II builds Angkor Wat 1113-1150
notre-dame	巴黎圣母院建于 1163-1260 年	Notre-Dame de Paris built 1163-1260
ming-dynasty	中国明朝 1368-1644	Ming dynasty in imperial China 1368-1644
jehoiada	耶何耶大	Jehoiada
babel	巴别塔建成	tower of Babel built
Haggai	哈该	Haggai
Zephaniah	西番雅	Zephaniah
Zerubbabel	所罗巴伯（路加福音 3:27）	Zerubbabel (Luke 3:27)
