key	text	english
event_jerusalem_rebuilt	エルサレムの壁は西暦前455年に再建されました。	Jerusalem wall rebuilt 455 B.C.E.
event_destruction_jerusalem2	西暦70年にティトゥス統治下のローマによりエルサレムが破壊される	Destruction of Jerusalem 70 C.E. by Rome under Titus
event_1914	西暦 1914 年、諸国民の時代が終わり、神の王国が天で支配を開始します。	End of the time of the nations, Gods kingdom starts to rule in heaven 1914 C.E. 
became_king	高齢で王になった	became king at age
vulgate	ヒエロニムスによって完成されたウルガタ聖書（聖書のラテン語訳） c． 西暦405年	Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E.
gutenberg	グーテンベルク聖書、1455 年に印刷	Gutenberg bible printed 1455
erasmus	1516年にロッテルダムのデジデリウス・エラスムスによって出版されたクリスチャン・ギリシャ語聖書のギリシャ語本文	Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516
luther	1522年9月のルター聖書翻訳	Luther Bible translation in September 1522
tyndale	ティンダルによる英語聖書翻訳 1536	English Bible translation by Tyndale 1536
king_james	ジェームズ王欽定訳聖書 1611	King James Bible 1611
69weeks3	イエスは西暦29年に奉仕を始める（ルカ3:1、21）	Jesus starts his service 29 CE (Luke 3:1, 21)
ransom	週の半ば「犠牲をやめる」 ダニエル 9:27	middle of week “sacrifice to cease” Daniel 9:27
cornelius	コルネリオは西暦36年、70週の終わりにバプテスマを受けました(ダニエル 9:24)。	Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E.
columbus	アメリカ大陸における先コロンブス期の終わり 1492	end of the pre-columbian period in the Americas 1492
declaration_independence	1776年アメリカの13植民地の独立宣言	declaration of independence of 13 colonies in America 1776
tischendorf	ティッシェンドルフは 1844 年に 4 世紀のシナイ写本を発見	Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844
dead_sea_scrolls	死海文書が書かれた	Dead Sea Scrolls written
septuagint	七十人訳聖書 LXX 翻訳	Septuagint LXX translated
watchtower	『シオンのものみの塔とキリストの臨在の使者』の初版は 1879 年に発行される	The first issue of “Zion’s Watch Tower and Herald of Christ’s Presence” is published in 1879
photodrama	「創造のフォトドラマ」は、1914 年 1 月 11 日にニューヨークで初上映されました。	The “Photo-Drama of Creation” is first shown in New York on January 11, 1914
jehovahs_witnesses	聖書研究者たちはエホバの証人という新しい名前を採用しました。 1931年、オハイオ州コロンバスにて	The Bible Students adopted a new name – Jehovah’s Witnesses. In Columbus, Ohio, 1931
gilead_school	ものみの塔ギレアデ聖書学校は1943年2月1日月曜日に始まりました	Watchtower Bible School of Gilead began on Monday, February 1, 1943
new_world_translation1	『新世界訳聖書』は1960年6月18日にイギリスのマンチェスターで出版された	“New World Translation of the Holy Scriptures” released in Manchester, England on June 18, 1960
truth_book	「永遠の命につながる真実」という本が1968年に出版されました。	The book “The Truth That Leads to Eternal Life” released 1968
metropolitan	2011年に大都市での証言が開始される	Start of metropolitan witnessing in 2011
jw_org	2012 年 12 月に王国宣教の指示に従って JW.ORG を開始	Start of JW.ORG with instructions in kingdom ministry December 2012
new_world_translation2	改訂版『新世界訳聖書』が2013年の年次総会で発表	Revised “New World Translation of the Holy Scriptures” released at annual meeting 2013
jw_broadcasting	2014年10月よりjw.放送開始	Start of jw.broadcasting in October 2014
meeting_workbook	2016年1月より「会議ワークブック」による平日会議の新形式	New format of midweek meeting with “meeting workbook” starting January 2016
covid19	新型コロナウイルス感染症（Covid-19）の世界的なパンデミックにより、ロックダウン、隔離、ズーム会議が発生	Global Covid-19 pandemic leads to lockdowns, quarantine and zoom-meetings
cold_war	「冷戦」と名付けられた地政学的状況 1945 ～ 1991 年	Geopolitical situation labeled “Cold War” 1945-1991
timeline_created	このタイムラインは、人類史上、過去 125,000 年間で最も暑い年である 2023 年に作成されました。	This timeline was created in 2023, the hottest year in human history and the last 125,000 years
codex_sinaiticus	シナイ写本が書かれた	Codex Sinaiticus written
codex_vaticanus	バチカン写本が書かれた	Codex Vaticanus written
leningrad_codex	西暦 1008 年にカイロで書かれたレニングラード写本	Leningrad Codex written in Cairo AD 1008
john	ヨハネは西暦96年から98年にパトモス島に流刑中に「啓示」を書きます。	John writes “revelation” while exiled on Patmos 96-98 C.E.
nicaea1	第一回ニカイア公会議	First Council of Nicaea
buddha	仏陀 – ゴータマ シッダールタ 西暦前 563 年頃～483 年頃	The Buddha – Siddhartha Gautama c.563-c.483 B.C.E
buddha2	仏陀の代わりに c. 西暦前480年から400年	Buddha alternatively c. 480-400 B.C.E.
mohammed	モハメッド C. 西暦570年から632年	Mohammed c. 570-632 C.E.
confucius	孔子 西暦前551年頃～479年頃	Confucius c.551-c.479 B.C.E.
hijrah	ヒジュラ - メッカからメディナへの旅 622 年 7 月 16 日	Hijrah - Journey Mecca to Medina 16 July 622
moses_escape	西暦前1553年 モーセはエジプトを脱出しなければなりません – 出エジプト記 2:15、使徒 7:23	1553 B.C.E. Moses has to escape Egypt – Exodus 2:15, Acts 7:23
10plagues	西暦前1513年 エジプトに10回の疫病が発生	1513 B.C.E Egypt receives 10 plagues
joseph_sold	ヨセフは17歳で奴隷として売られた – 創世記37:2	Joseph sold as slave at the age of 17 – Gen 37:2
infliction	400 年間の苦痛 (使徒 7:6) – イシュマエル 西暦前 1913 年	400 year infliction (Acts 7:6) – Ishmael 1913 B.C.E
Alexander	アレクサンダー大王 (ダニエル 11:3)	Alexander the Great (Daniel 11:3)
persia	キュロス大王、カンビュセス 2 世、ダレイオス 1 世、紀元前 490 年、クセルクセス 1 世、紀元前 480 年 (エステルの夫、ダニエル 11:2)	Cyrus the Great, Cambyses II, Darius I 490 BCE, Xerxes I 480 BCE (husband of Esther, Daniel 11:2)
persia2	ペルシャ	Persia
king_north	セレウコス 1 世ニカトル (v5) シリアからアンティオコス 3 世 (v10) およびセレウコス 4 世 (v18、19) からオクタウィアヌス (v20) およびティベリウス (v21-24)	Seleucus I Nicator (v5) Syria to Antiochus III (v10) and Seleucus IV (v18, 19) down to Octavian (v20) and Tiberius (v21-24)
king_north1	北の王	King of the North
king_south	プトレマイオス I、II、III、IV (v11、12)、V (v15、16) から西暦前 31 年のアクティウムの戦いまで	Ptolemy I, II, III, IV (v11, 12), V (v15, 16) to the battle Actium 31 B.C.E.
king_south1	南の王	King of the South
king_south2	1870年に大英帝国、1914年から英米世界強国	British empire 1870, Anglo-American World Power since 1914
king_south3	南の王	King of the South
king_north2	皇帝ウィリアム 1 世とドイツ 1871 (v28)、1914 (v29)、1935 (v30b)、1939 (v31a)	Germany with Emperor William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)
king_north3	北	North
king_north4	ソウジェトゥニオン 1945-1991 (ダニエル 11:32-39、40 b、41)	Sowjet Union 1945-1991 (Daniel 11:32-39, 40b, 41)
king_north5	2017 年以降のロシア (w20 5 月)	Russia since 2017 (w20 May)
time_of_end	キリストの臨在、事物の体制の終結（マタイ 24:3）、終わりの日（テモ第二 3:1）	Presence of Christ, Conclusion of the system of things (Matt 24:3), the last days (2Ti 3:1)
time_of_end2	最後の日々	last days
suryavaman2	スーリヤヴァルマン 2 世がアンコール ワットを建設 1113 ～ 1150	King Suryavarman II builds Angkor Wat 1113-1150
notre-dame	ノートルダム大聖堂は 1163 ～ 1260 年に建てられました。	Notre-Dame de Paris built 1163-1260
ming-dynasty	中国帝国の明王朝 1368 ～ 1644 年	Ming dynasty in imperial China 1368-1644
jehoiada	エホヤダ	Jehoiada
babel	バベルの塔が建てられた	tower of Babel built
