key	text	alternative
OmriTibni	Ôm-ri và Típ-ni	4 years Omri and Tibni
Omri	Ôm-ri (một mình)	from 947 Omri alone
Ahab	A-háp	
Ahaziah	A-cha-xia	
Jehoram	Giê-hô-ram	
Jehu	Giê-hu	
Jeoahaz	Giê-hô-a-cha	
JeoahazJehoash	Giê-hô-a-cha và Giê-hô-ách	For 3 years Jeoahaz and Jeoash reigned together
Jehoash2	Giê-hô-ách (một mình)	Jehoash (alone)
Jeroboam2	Giê-rô-bô-am II	
Zechariah	Xa-cha-ri	reign only recorded 6 months, probably only established 792 BCE
Schallum	Sa-lum	only one month
Menahem	Mê-na-hem	
Pekahiah	Phê-ca-hia	
Pekah	Phê-ca-hia	
Hoshea	Hô-sê	9 years from c. 748
Elijah	Ê-li-gia	
Elisha	Ê-li-sê	
Jonah	Giô-na	
Amos	A-mốt	
Joel	Giô-ên	
Hosea	Ô-sê	
Isaiah	Ê-sai	
Micah	Mi-chê	
Zephaniah	Xô-phô-ni	
Nahum	Na-hum	
Jeremiah	Giê-rê-mi	
Habakuk	Ha-ba-cúc	
Daniel	Đa-ni-ên	
Ezekiel	Ê-xê-chi-ên	
Obadiah	Áp-đia	
Malachi	Ma-la-chi	
Ruth	Ru-tơ	
Ezra	Ê-xơ-ra	
Nehemiah	Nê-hê-mi	
Esther	Ê-xơ-tê	
Job	Giốp	
moses2	1593 to 1473 TCN – 120 năm	
moses3	Môi-se	
wilderness	Israel in the wilderness 1513 to 1473 B.C.E. – 40 years	
timespan_judges	1473 to 1117 TCN – 356 năm	
timespan_judges2	Time of the judges	
temple1	Nisan 1513 B.C.E. to Ziv 1034 B.C.E.	
temple2	479 years until the temple construction – 1 Các vua 6:1	1034 BCE
69weeks	Jesus baptized autumn 29 C.E.	
69weeks2	69 weeks to the Messiah – Đa-ni-ên 9:25	
jesus_service	3.5 years of Jesus service, executed Nisan 14th, 33 C.E.	
jesus_life	Jesus born 2 B.C.E.	
exile	607 to 537 B.C.E. – 70 năm (Giê-rê-mi 25:11)	
exile2	lưu vong	
7times	Khải huyền 12:9	
7times2	7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Đa-ni-ên 4:23)	
ww1	World War I – 1914–1918 C.E.	
ww2	World War II – 1939–1945 C.E.	
30_year_war	30 year war in Europe 1618-1648 C.E.	
joshua	110 năm	
joshua2	Giô-suê	
caleb	hơn 85 năm	
caleb2	Ca-lép	
missionary1	First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark	
circumcision	Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.	
missionary2	Second Missionary Journey c. 49-52 C.E with Silas (Silvanus)	
missionary3	Third Missionary Journey c. 52-56 C.E.	
caesarea	Paul in custody in Caesarea c. 56-58 C.E.	
rome1	Paul’s first imprisonment in Rome c. 59-61 C.E.	
rome2	Paul’s second imprisonment in Rome c. 65 CE, 2 Timothy written, Paul executed	
Julius	Julius	
Augustus	Augustus	
Tiberius	Tiberius	
Caligula	Caligula	
Claudius	Claudius	
Nero	Nero	
Galba-Otho-Vitellius	Galba, Otho và Vitellius (Year of the Four Emperors)	
Vespasian	Vespasian	
event_division_kingdom	Division of Israel 997 BCE	
event_exodus	Xuất Ai Cập from Egypt on Nisan 14th, 1513 B.C.E.	
event_1914	End of the time of the nations, Gods kingdom starts to rule in heaven 1914 C.E. 	
event_destruction_jerusalem1	Destruction of Jerusalem 607 B.C.E. by Babylon 	
event_destruction_jerusalem2	Destruction of Jerusalem 70 C.E. by Rome under Titus	
event_destruction_samaria	Destruction of Samaria 740 B.C.E. by Assyria 	
event_jerusalem_rebuilt	Jerusalem rebuilt 455 B.C.E.	
