key	text	english
7times2	Cемь времён – 2520 лет до Мессианского Царства, 1914 г. н.э. (Даниил 4:23)	7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23)
ww1	Первая мировая война – 1914–1918 гг. н.э.	World War I – 1914–1918 C.E.
ww2	Вторая мировая война – 1939–1945 гг. н. э.	World War II – 1939–1945 C.E.
30_year_war	Тридцатилетняя война в Европе 1618-1648 гг.	Thirty Years' War in Europe 1618-1648
joshua	110 лет	110 years
joshua2	Иисус Навин	Joshua
caleb	более 85 лет	more than 85 years
caleb2	Калеб	Caleb
missionary1	Первое миссионерское путешествие Павла, ок. 47–48 гг. н. э., Варнава и Иоанн Марк.	First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark
circumcision	Проблема обрезания в Антиохии, конференция в Иерусалиме ок. 49 г. н. э.	Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.
missionary2	Второе миссионерское путешествие ок. 49–52 гг. н.э. с Силой (Сильваном)	Second Missionary Journey c. 49-52 C.E with Silas (Silvanus)
missionary3	Третье миссионерское путешествие ок. 52–56 гг. н.э.	Third Missionary Journey c. 52-56 C.E.
caesarea	Павел под стражей в Кесарии ок. 56–58 гг. н. э.	Paul in custody in Caesarea c. 56-58 C.E.
rome1	Первое заключение Павла в Риме ок. 59–61 гг. н.э.	Paul’s first imprisonment in Rome c. 59-61 C.E.
rome2	Второе заключение Павла в Риме ок. 65 г. н. э., написано 2 Тимофею, Павел казнен.	Paul’s second imprisonment in Rome c. 65 CE, 2 Timothy written, Paul executed
Julius	Гай Юлий Цезарь	Julius
Augustus	Октавиан Август	Augustus
Tiberius	Тиберий	Tiberius
Caligula	Калигула	Caligula
Claudius	Клавдий	Claudius
Nero	Нерон	Nero
Galba-Otho-Vitellius	Гальба, Отон и Вителлий (Год четырех императоров)	Galba, Otho and Vitellius (Year of the Four Emperors)
Vespasian	Веспасиан	Vespasian
event_exodus	Исход из Египта 14 нисана 1513 г. до н. э.	Exodus from Egypt on Nisan 14th, 1513 B.C.E.
event_division_kingdom	Разделение Израиля 997 г. до н.э.	Division of Israel 997 BCE
event_destruction_samaria	Разрушение Самарии 740 г. до н. э. Ассирии	Destruction of Samaria 740 B.C.E. by Assyria
event_destruction_samaria2	740 г. до н.э. Ассирии	740 B.C.E. by Assyria
event_destruction_jerusalem1	Разрушение Иерусалима 607 г. до н.э. Вавилоном, через 390 лет после разделения царства (Иезекииль 4:5)	Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)
event_temple_rebuilt	Храм в Иерусалиме восстановлен в 515 г. до н. э.	Temple in Jerusalem rebuilt 515 B.C.E.
event_jerusalem_rebuilt	Стена Иерусалима восстановлена в 455 г. до н. э.	Jerusalem wall rebuilt 455 B.C.E.
event_destruction_jerusalem2	Разрушение Иерусалима римлянами при Тите в 70 году н. э.	Destruction of Jerusalem 70 C.E. by Rome under Titus
event_1914	Конец времени народов, Царство Божье начинает править на небесах. 1914 г. н.э.	End of the time of the nations, Gods kingdom starts to rule in heaven 1914 C.E. 
became_king	стал королем в возрасте	became king at age
vulgate	Вульгата, завершенная Иеронимом (латинский перевод Библии) ок. 405 г. н. э.	Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E.
gutenberg	Библия Гутенберга, напечатанная в 1455 году.	Gutenberg bible printed 1455
erasmus	Греческий текст Христианских Греческих Писаний, опубликованный Дезидерием Эразмом из Роттердама в 1516 году.	Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516
luther	Перевод Библии Лютера в сентябре 1522 г.	Luther Bible translation in September 1522
tyndale	Английский перевод Библии Тиндейла 1536 г.	English Bible translation by Tyndale 1536
king_james	Библия короля Иакова 1611 г.	King James Bible 1611
69weeks3	Иисус начинает свое служение в 29 г. н.э. (Луки 3:1, 21)	Jesus starts his service 29 CE (Luke 3:1, 21)
ransom	середина недели «прекратить жертвоприношение» Даниил 9:27	middle of week “sacrifice to cease” Daniel 9:27
cornelius	Корнилий крестился по истечении 70 недель (Даниил 9:24) в 36 году н. э.	Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E.
columbus	конец доколумбового периода в Америке 1492 г.	end of the pre-columbian period in the Americas 1492
declaration_independence	провозглашение независимости 13 колоний Америки 1776 г.	declaration of independence of 13 colonies in America 1776
tischendorf	Тишендорф обнаруживает Синайский кодекс IV века в 1844 году.	Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844
dead_sea_scrolls	Написаны свитки Мертвого моря	Dead Sea Scrolls written
septuagint	Септуагинта LXX в переводе	Septuagint LXX translated
watchtower	Первый номер журнала «Сионская сторожевая башня и вестник присутствия Христа» вышел в свет в 1879 году.	The first issue of “Zion’s Watch Tower and Herald of Christ’s Presence” is published in 1879
photodrama	«Фотодрама творения» впервые показана в Нью-Йорке 11 января 1914 года.	The “Photo-Drama of Creation” is first shown in New York on January 11, 1914
jehovahs_witnesses	Исследователи Библии приняли новое название – Свидетели Иеговы. Колумбус, штат Огайо, 1931 год.	The Bible Students adopted a new name – Jehovah’s Witnesses. In Columbus, Ohio, 1931
gilead_school	Библейская школа Сторожевой Башни Галаад открылась в понедельник, 1 февраля 1943 года.	Watchtower Bible School of Gilead began on Monday, February 1, 1943
new_world_translation1	«Священное Писание — Перевод нового мира» выпущено в Манчестере, Англия, 18 июня 1960 года.	“New World Translation of the Holy Scriptures” released in Manchester, England on June 18, 1960
truth_book	Книга «Истина, ведущая к вечной жизни» выпущена в 1968 году.	The book “The Truth That Leads to Eternal Life” released 1968
metropolitan	Начало столичного свидетельствования в 2011 году.	Start of metropolitan witnessing in 2011
jw_org	Запуск JW.ORG с инструкциями по служению в Царстве, декабрь 2012 г.	Start of JW.ORG with instructions in kingdom ministry December 2012
new_world_translation2	Пересмотренный документ «Священное Писание — Перевод нового мира», выпущенный на ежегодном собрании в 2013 году.	Revised “New World Translation of the Holy Scriptures” released at annual meeting 2013
jw_broadcasting	Начало jw.вещания в октябре 2014 г.	Start of jw.broadcasting in October 2014
meeting_workbook	Новый формат встреч в середине недели с «рабочим журналом встреч» с января 2016 г.	New format of midweek meeting with “meeting workbook” starting January 2016
covid19	Глобальная пандемия Covid-19 приводит к блокировкам, карантину и масштабным встречам	Global Covid-19 pandemic leads to lockdowns, quarantine and zoom-meetings
cold_war	Геополитическая ситуация под названием «Холодная война» 1945-1991 гг.	Geopolitical situation labeled “Cold War” 1945-1991
timeline_created	Эта временная шкала была создана в 2023 году, самом жарком году в истории человечества за последние 125 000 лет.	This timeline was created in 2023, the hottest year in human history and the last 125,000 years
codex_sinaiticus	Синайский кодекс написан	Codex Sinaiticus written
codex_vaticanus	Кодекс Ватикана написан	Codex Vaticanus written
leningrad_codex	Ленинградский кодекс, написанный в Каире в 1008 году нашей эры.	Leningrad Codex written in Cairo AD 1008
john	Иоанн пишет «Откровение» во время ссылки на Патмос в 96–98 гг. н. э.	John writes “revelation” while exiled on Patmos 96-98 C.E.
nicaea1	Первый Никейский собор	First Council of Nicaea
buddha	Будда – Сиддхартха Гаутама, ок. 563–483 гг. до н. э.	The Buddha – Siddhartha Gautama c.563-c.483 B.C.E
buddha2	Будда альтернативно c. 480–400 гг. до н. э.	Buddha alternatively c. 480-400 B.C.E.
mohammed	Мохаммед ок. 570–632 гг. н.э.	Mohammed c. 570-632 C.E.
confucius	Конфуций ок. 551–479 гг. до н. э.	Confucius c.551-c.479 B.C.E.
hijrah	Хиджра – путешествие из Мекки в Медину 16 июля 622 г.	Hijrah - Journey Mecca to Medina 16 July 622
moses_escape	1553 г. до н.э. Моисей должен бежать из Египта – Исход 2:15, Деяния 7:23.	1553 B.C.E. Moses has to escape Egypt – Exodus 2:15, Acts 7:23
10plagues	1513 г. до н. э. Египет подвергается 10 казням.	1513 B.C.E Egypt receives 10 plagues
joseph_sold	Иосифа продали в рабство в возрасте 17 лет – Быт. 37:2.	Joseph sold as slave at the age of 17 – Gen 37:2
infliction	400-летнее наказание (Деяния 7:6) – Измаил, 1913 г. до н.э.	400 year infliction (Acts 7:6) – Ishmael 1913 B.C.E
Alexander	Александр Македонский (Даниила 11:3)	Alexander the Great (Daniel 11:3)
persia	Кир Великий, Камбиз II, Дарий I 490 г. до н.э., Ксеркс I 480 г. до н.э. (муж Эстер, Даниил 11:2)	Cyrus the Great, Cambyses II, Darius I 490 BCE, Xerxes I 480 BCE (husband of Esther, Daniel 11:2)
persia2	Персия	Persia
king_north	Селевк I Никатор (т. 5) от Сирии до Антиоха III (т. 10) и Селевка IV (т. 18, 19) вплоть до Октавиана (т. 20) и Тиберия (т. 21-24)	Seleucus I Nicator (v5) Syria to Antiochus III (v10) and Seleucus IV (v18, 19) down to Octavian (v20) and Tiberius (v21-24)
king_north1	Король Севера	King of the North
king_south	Птолемей I, II, III, IV (т11, 12), V (т15, 16) на битву при Акции 31 г. до н.э.	Ptolemy I, II, III, IV (v11, 12), V (v15, 16) to the battle Actium 31 B.C.E.
king_south1	Король Юга	King of the South
king_south2	Британская империя 1870 г., англо-американская мировая держава с 1914 г.	British empire 1870, Anglo-American World Power since 1914
king_south3	Король Юга	King of the South
king_north2	Германия с императором Вильгельмом I 1871 (т.28), 1914 (т.29), 1935 (т.30b), 1939 (т.31а)	Germany with Emperor William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)
king_north3	Север	North
king_north4	Соуджетунион 1945-1991 (Даниил 11:32-39, 40 б, 41)	Sowjet Union 1945-1991 (Daniel 11:32-39, 40b, 41)
king_north5	Россия с 2017 г. (w20 мая)	Russia since 2017 (w20 May)
time_of_end	Присутствие Христа, Завершение системы вещей (Мф 24:3), последние дни (2Тим 3:1)	Presence of Christ, Conclusion of the system of things (Matt 24:3), the last days (2Ti 3:1)
time_of_end2	Последние дни	last days
suryavaman2	Король Сурьяварман II строит Ангкор-Ват 1113-1150 гг.	King Suryavarman II builds Angkor Wat 1113-1150
notre-dame	Собор Парижской Богоматери, построенный в 1163-1260 гг.	Notre-Dame de Paris built 1163-1260
ming-dynasty	Династия Мин в императорском Китае 1368-1644 гг.	Ming dynasty in imperial China 1368-1644
jehoiada	Иодай	Jehoiada
babel	построена Вавилонская башня	tower of Babel built
