key,text,english,notes
event_exodus,"Kutoka kutoka Misri mnamo Nisan 14, 1513 B.C.E.","Exodus from Egypt on Nisan 14th, 1513 B.C.E.",
event_division_kingdom,Idara ya Israeli 997 KWK,Division of Israel 997 BCE,
event_destruction_samaria,Uharibifu wa Samaria 740 B.C.E. na Ashuru,Destruction of Samaria 740 B.C.E. by Assyria,Destruction of Samaria 740 B.C.E. by Assyria
event_destruction_samaria2,740 B.C.E. na Ashuru,740 B.C.E. by Assyria,was shortened here for 2 lines
event_destruction_jerusalem1,"Uharibifu wa Yerusalemu 607 B.C.E. na Babeli, miaka 390 baada ya Idara ya Ufalme (Ezekieli 4: 5)","Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)",
event_temple_rebuilt,Hekalu huko Yerusalemu Kujengwa tena 515 B.C.E.,Temple in Jerusalem rebuilt 515 B.C.E.,
event_jerusalem_rebuilt,Jerusalem ukuta uliojengwa tena 455 b.c.e.,Jerusalem wall rebuilt 455 B.C.E.,
event_destruction_jerusalem2,Uharibifu wa Yerusalemu 70 C.E. na Roma chini ya Titus,Destruction of Jerusalem 70 C.E. by Rome under Titus,
event_1914,"Mwisho wa wakati wa mataifa (Luka 21:24), Ufalme wa Mungu unaanza kutawala Mbingu 1914 C.E.","End of the time of the nations (Luke 21:24), God’s Kingdom starts to rule in heaven 1914 C.E.",include scripture Luke 21:24
became_king,inakuwa mfalme akiwa na umri,becomes king at age,2025-04-14
vulgate,Vulgate iliyokamilishwa na Jerome (Tafsiri ya Kilatini ya Bibilia) c. 405 C.E.,Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E.,
gutenberg,Gutenberg Bible iliyochapishwa 1455,Gutenberg Bible printed 1455,
erasmus,Nakala ya Uigiriki ya Maandiko ya Uigiriki ya Kikristo iliyochapishwa na Desiderius Erasmus wa Rotterdam 1516,Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516,
luther,Tafsiri ya Bibilia ya Luther mnamo Septemba 1522,Luther Bible translation in September 1522,
tyndale,Tafsiri ya Bibilia ya Kiingereza na Tyndale 1536,English Bible translation by Tyndale 1536,
king_james,King James Bible 1611,King James Bible 1611,
69weeks3,"Yesu anaanza huduma yake 29 CE (Luka 3: 1, 21)","Jesus starts his service 29 CE (Luke 3:1, 21)",
ransom,"Katikati ya wiki ""dhabihu ya kukomesha"" Danieli 9:27",Middle of week “sacrifice to cease” Daniel 9:27,
cornelius,Cornelius alibatizwa mwishoni mwa wiki 70 (Danieli 9:24) mnamo 36 C.E.,Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E.,
columbus,Mwisho wa kipindi cha kabla ya Columbian katika Amerika 1492,End of the pre-columbian period in the Americas 1492,
declaration_independence,Azimio la Uhuru wa koloni 13 huko Amerika 1776,Declaration of independence of 13 colonies in America 1776,
tischendorf,Tischendorf anagundua Codex Sinaiticus kutoka karne ya 4 mnamo 1844,Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844,
dead_sea_scrolls,Kitabu cha Bahari ya Wafu Imeandikwa,Dead Sea Scrolls written,
septuagint,Septuagint LXX iliyotafsiriwa,Septuagint LXX translated,
watchtower,"Toleo la kwanza la ""Mnara wa Watch wa Sayuni na Herald ya uwepo wa Kristo"" limechapishwa mnamo 1879",The first issue of “Zion’s Watch Tower and Herald of Christ’s Presence” is published in 1879,
photodrama,"Mchezo wa kuigiza wa Uumbaji unaonyeshwa kwa mara ya kwanza huko New York mnamo Januari 11, 1914","The “Photo-Drama of Creation” is first shown in New York on January 11, 1914",
jehovahs_witnesses,"Wanafunzi wa Bibilia wanachukua jina jipya - Mashahidi wa Yehova (Isaya 43:10, 12) huko Columbus, Ohio, 1931","The Bible Students adopt a new name – Jehovah’s Witnesses (Isaiah 43:10, 12) in Columbus, Ohio, 1931",include scripture
gilead_school,"Shule ya Watchtower Bible ya Gileadi inaanza Jumatatu, Februari 1, 1943","Watchtower Bible School of Gilead begins on Monday, February 1, 1943",
new_world_translation1,"Tafsiri ya Ulimwengu Mpya wa Maandiko Matakatifu iliyotolewa huko Manchester, England mnamo Juni 18, 1960, inachukua jina la Yehova katika sehemu nyingi za Bibilia","“New World Translation of the Holy Scriptures” released in Manchester, England on June 18, 1960, reintroduces the name Jehovah in many parts of the Bible",hightlight reintroduction of Jehovah’s name
truth_book,"Kitabu ""Ukweli unaoongoza kwa Uzima wa Milele"" umetolewa 1968",The book “The Truth That Leads to Eternal Life” is released 1968,
metropolitan,Kuanza kwa Ushuhuda wa Metropolitan mnamo 2011,Start of metropolitan witnessing in 2011,
jw_org,Kuanza kwa JW.org na maagizo katika Wizara ya Ufalme Desemba 2012,Start of JW.ORG with instructions in Kingdom Ministry December 2012,
new_world_translation2,"Iliyorekebishwa ""Tafsiri ya Ulimwengu Mpya ya Maandiko Matakatifu"" iliyotolewa katika Mkutano wa Mwaka 2013, iliyoboreshwa kutumiwa kwa dijiti na mkondoni","Revised “New World Translation of the Holy Scriptures” released at annual meeting 2013, optimized to be used digitally and online",new edition with digital and online in mind
jw_broadcasting,Kuanza kwa JW Matangazo ® mnamo Oktoba 2014,Start of JW Broadcasting® in October 2014,
meeting_workbook,"Fomati mpya ya mkutano wa katikati ya wiki na ""kitabu cha mkutano"" kuanzia Januari 2016",New format of midweek meeting with “Meeting Workbook” starting January 2016,
covid19,COVID-19,Covid-19,
cold_war,"Hali ya jiografia inayoitwa ""Vita Baridi"" 1945-1991",Geopolitical situation labeled “Cold War” 1945-1991,
timeline_created,"Mda huu wa muda umeundwa mnamo 2023, mwaka wa moto zaidi katika historia ya wanadamu na miaka 125,000 iliyopita","This timeline is created in 2023, the hottest year in human history and the last 125,000 years",
codex_sinaiticus,Codex sinaiticus imeandikwa,Codex Sinaiticus written,
codex_vaticanus,Codex Vaticanus imeandikwa,Codex Vaticanus written,
leningrad_codex,Leningrad Codex iliyoandikwa katika Cairo AD 1008,Leningrad Codex written in Cairo AD 1008,
john,"John anaandika ""Ufunuo"" wakati alihamishwa kwenye Patmos 96-98 C.E.",John writes “revelation” while exiled on Patmos 96-98 C.E.,
nicaea1,Baraza la kwanza la Nicaea,First Council of Nicaea,
buddha,Buddha-Siddhartha Gautama c.563-c.483 B.C.E,The Buddha – Siddhartha Gautama c.563-c.483 B.C.E,
buddha2,Buddha Vinginevyo c. 480-400 B.C.E.,Buddha alternatively c. 480-400 B.C.E.,
mohammed,Mohammed c. 570-632 C.E.,Mohammed c. 570-632 C.E.,
confucius,Confucius c.551-c.479 b.c.e.,Confucius c.551-c.479 B.C.E.,
hijrah,Hijrah - Safari ya Mecca kwenda Madina 16 Julai 622,Hijrah - Journey Mecca to Medina 16 July 622,
moses_escape,"1553 B.C.E. Musa lazima atoroke Misri - Kutoka 2:15, Matendo 7:23","1553 B.C.E. Moses has to escape Egypt – Exodus 2:15, Acts 7:23",
10plagues,1513 b.c.e Misri inapokea mapigo 10,1513 B.C.E Egypt receives 10 plagues,
joseph_sold,Joseph aliuza kama mtumwa akiwa na umri wa miaka 17 - Mwa 37: 2,Joseph sold as slave at the age of 17 – Gen 37:2,
infliction,Unyogovu wa miaka 400 (Matendo 7: 6) - Ishmaeli 1913 B.C.E,400 year infliction (Acts 7:6) – Ishmael 1913 B.C.E,
Alexander,Alexander the Great (Daniel 11: 3),Alexander the Great (Daniel 11:3),
persia,"Cyrus the Great, Cambyses II, Darius I 490 KWK, Xerxes I 480 KWK (mume wa Esther, Daniel 11: 2)","Cyrus the Great, Cambyses II, Darius I 490 BCE, Xerxes I 480 BCE (husband of Esther, Daniel 11:2)",
persia2,Uajemi,Persia,
king_north,"Seleucus I Nicator (V5) Syria hadi Antiochus III (V10) na Seleucus IV (V18, 19) hadi Octavian (V20) na Tiberius (V21-24)","Seleucus I Nicator (v5) Syria to Antiochus III (v10) and Seleucus IV (v18, 19) down to Octavian (v20) and Tiberius (v21-24)",
king_north1,Mfalme wa Kaskazini,King of the North,
king_south,"Ptolemy I, II, III, IV (V11, 12), V (V15, 16) kwa Actium ya Vita 31 B.C.E.","Ptolemy I, II, III, IV (v11, 12), V (v15, 16) to the battle Actium 31 B.C.E.",
king_south1,Mfalme wa Kusini,King of the South,
king_south2,"Dola ya Uingereza 1870, Anglo-American Nguvu ya Ulimwenguni tangu 1914","British Empire 1870, Anglo-American World Power since 1914",
king_south3,Mfalme wa Kusini,King of the South,
king_north2,"Ujerumani na Mtawala William I 1871 (V28), 1914 (V29), 1935 (V30B), 1939 (V31A)","Germany with Emperor William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)",
king_north3,Kaskazini,North,
king_north4,"Umoja wa Soviet 1945-1991 (Daniel 11: 32-39, 40b, 41)","Soviet Union 1945-1991 (Daniel 11:32-39, 40b, 41)",
king_north5,Urusi tangu 2017 (W20 Mei),Russia since 2017 (w20 May),
time_of_end,"Uwepo wa Kristo, Hitimisho la Mfumo wa Vitu (Mathayo 24: 3), Siku za Mwisho (2 Timotheo 3: 1)","Presence of Christ, Conclusion of the system of things (Matthew 24:3), the last days (2 Timothy 3:1)",scriptures written out
time_of_end2,Siku za mwisho,Last days,
suryavaman2,Mfalme Suryavarman II huunda Angkor Wat 1113-1150,King Suryavarman II builds Angkor Wat 1113-1150,
notre-dame,Notre-Dame de Paris aliunda 1163-1260,Notre-Dame de Paris built 1163-1260,
jehoiada,Jehoiada,Jehoiada,2 Kings 11:4
babel,Mnara wa Babeli Kujengwa,Tower of Babel built,
Haggai,Haggai,Haggai,
Zerubbabel,Zerubbabel (Luka 3:27),Zerubbabel (Luke 3:27),Luke 3:27
Babylon,"Danieli 2:32, 36-38; 7: 4","Daniel 2:32, 36-38; 7:4",
Medopersia,"Danieli 2:32, 39; 7: 5","Daniel 2:32, 39; 7:5",
Greece,"Danieli 2:32, 39; 7: 6","Daniel 2:32, 39; 7:6",
Rome,"Danieli 2:33, 40; 7: 7","Daniel 2:33, 40; 7:7",
Angloamerica,"Danieli 2:33, 41-43","Daniel 2:33, 41-43",
Babylon_c,Babeli,Babylon,
Medopersia_c,Medo-Persia,Medo-Persia,
Greece_c,Ugiriki,Greece,
Rome_c,Roma,Rome,
Angloamerica_c,Anglo-America,Anglo-America,
infliction1,Ugumu wa miaka 400,400 year infliction,Acts 7:6
infliction2,Matendo 7: 6,Acts 7:6,
Jacob2,Jacob/,Jacob/,Jacob/Israel 1858-1711 – 147 years
Israel,Israeli,Israel,Genesis 35:10
Sarah,Sarah,Sarah,"2008-1881 BCE – 127 years, Isaiah 51:2"
Hagar,Hagar,Hagar,Genesis 21:14
Haran,Haran,Haran,Genesis 11:26
Reumah,Reumah,Reumah,Concubine – 4 sons 22:24
Milcah,Milcah,Milcah,8 sons (Bethuel and 7 more)
Lot,Mengi,Lot,Genesis 11:27
Lots_wife,Mke wa Loti,Lot’s wife,
Lots_daughters,Binti za kura,Daughters of Lot,
Moab,Moabu (binti mkubwa),Moab (older daughter),Genesis 19:37
Ammon,Ben-Ammi (Amoni),Ben-ammi (Ammon),Genesis 19:38
Bethuel,Bethuel,Bethuel,Genesis 22:23
Rebekah,Rebekah,Rebekah,
Laban,Laban,Laban,Genesis 24:29
Leah,Leah,Leah,Genesis 35:23
Rachel,Raheli,Rachel,Genesis 35:24
Bilhah,Bilhah,Bilhah,Genesis 35:25
Zilpah,Zilpah,Zilpah,Genesis 35:26
Reuben,Reuben,Reuben,
Simeon,Simeon,Simeon,
Levi,Lawi,Levi,Genesis 35:23
Judah,Yuda,Judah,
Issachar,Issachar,Issachar,
Zebulun,Zebulun,Zebulun,
Dinah,Dinah,Dinah,Genesis 34
Esau,Esau/,Esau/,
Edom,Edomu,Edom,Genesis 36:1
Ishmael,Ishmael,Ishmael,Genesis 16:16
Manasseh2,(Manase,(Manasseh,Genesis 41:50-52
Ephraim,na Efraimu),and Ephraim),
Benjamin,Benjamin,Benjamin,
Dan,Dan,Dan,Genesis 35:23
Naphtali,Naphtali,Naphtali,
Gad,Gadi,Gad,
Asher,Asher,Asher,
Milcah1,"Uz, Buz, Kemuel,","Uz, Buz, Kemuel,",Genesis 22:21
Milcah2,"Chesed, Hazo,","Chesed, Hazo,",
Milcah3,"Pildash, Jidlaph","Pildash, Jidlaph",
Tebah,Tebah,Tebah,Genesis 22:24
Gaham,Gaham,Gaham,
Tahash,Tahash,Tahash,
Maacah,Maacah,Maacah,
Mahalath,Mahalath/,Mahalath/,"Genesis 28:8, 9"
Basemath,Basemath,Basemath,"Genesis36:3, 4"
Reuel,Reuel,Reuel,"36:13, 17"
Nahath,Nahath,Nahath,
Zerah,Zerah,Zerah,
Schammah,Schammah,Schammah,
Mizzah,Mizzah,Mizzah,
Adah,Adah,Adah,"36:11, 12, 15, 16"
Eliphaz,Eliphaz,Eliphaz,
Teman,TEMAN,Teman,
Omar,Omar,Omar,
Zepho,ZEPHO,Zepho,
Kenaz,Kenaz,Kenaz,
Korah,Kora,Korah,
Gatam,Gatam,Gatam,
Amalek,Amalek,Amalek,
Oholibamah,Oholibamah,Oholibamah,"36:14, 18"
Jeush,Jeush,Jeush,
Jalam,Jalam,Jalam,
Nebaioth,Nebaioth,Nebaioth,Genesis 25:13
Kedar,Kedar,Kedar,
Adbeel,Adbeel,Adbeel,
Mibsam,Mibsam,Mibsam,
Mishma,Mishma,Mishma,
Dumah,Dumah,Dumah,
Massa,Massa,Massa,
Hadad,Hadad,Hadad,
Tema,Tema,Tema,
Jetur,Jetur,Jetur,
Naphish,Naphish,Naphish,
Kedemah,Kedemah,Kedemah,
Babylon2,,,no text left and right – empty!
terahfam,Washiriki wa familia ya Tera,Members of Terah’s family,
rosetta,Jiwe la Rosetta 196 B.C.E.,Rosetta stone 196 B.C.E.,
Herodotus,"Herodotus c. 484 - c. 425 KK, anaandika historia","Herodotus c. 484 – c. 425 BC, writes The Histories",Father of History
Aristotle,Aristotle 384 - 322 KK,Aristotle 384 – 322 BC,"The First Teacher, The Philosopher"
Ptolemy,Ptolemy C 100 - c. 170 C.E.,Ptolemy c 100 – c. 170 C.E.,
Pythagoras,Pythagoras c. 570 - c. 495 KK,Pythagoras c. 570 – c. 495 BC,
Plato,Plato c. 427 - c. 348 KK,Plato c. 427 – c. 348 BC,
Socrates,Socates c. 470 - c. 399 KK,Socrates c. 470 – c. 399 BC,
Josephus,Josephus c. 37 - c. 100 C.E.,Josephus c. 37 – c. 100 C.E.,
Cicero,Cicero 106-43 KK,Cicero 106–43 BC,"influence on Latin language, 3 Jan 106 BC – 7 Dec 43 BC"
lachish_letters,Barua za Lachish c. 590 B.C.E.,Lachish letters c. 590 B.C.E.,
lachish_reliefs,Misaada ya lachish c. 681 B.C.E.,Lachish reliefs c. 681 B.C.E.,
mesha_stele,Mesha Stele (Jiwe la Moabite) c. 840 B.C.E.,Mesha Stele (Moabite stone) c. 840 B.C.E.,w25/12 study article 50 paragraph 6
gilgamesh,Gilgamesh na Aga 𒇽𒆥𒄄𒀀𒀝𒂵,Gilgamesh and Aga 𒇽𒆥𒄄𒀀𒀝𒂵,
epic_gilgamesh,Epic ya Gilgamesh (Sîn-lēqi-unninni),Epic of Gilgamesh (Sîn-lēqi-unninni),
oxyrhynchus,Oxyrhynchus papyri,Oxyrhynchus Papyri,
p52,Papyrus P52,Papyrus P52,
daniel2_shift,-10,-10,Start 4.2
daniel2_1,Mfalme Nebukadreza,King Nebuchadnezzar,607 BCE
daniel2_2,huharibu Yerusalemu,destroys Jerusalem,
daniel2_3,Inashinda Babeli,Conquers Babylon,539 BCE
daniel2_4,Amri ya Cyrus inarudi,Cyrus decrees return,537 BCE
daniel2_5,ya Wayahudi kwenda Yerusalemu,of Jews to Jerusalem,
daniel2_6,Alexander Mkuu,Alexander the Great,331 BCE
daniel2_7,Inashinda Uajemi,conquers Persia,
daniel2_8,Sheria juu ya Israeli,Rules over Israel,63 BCE
daniel2_9,Huharibu Yerusalemu,Destroys Jerusalem,70 CE
daniel2_10,"Wakati wa Vita vya Kwanza vya Dunia,","During World War I,",1914-1918 CE
daniel2_11,Nguvu ya Ulimwenguni ya Anglo-Amerika,Anglo-American World Power,
daniel2_12,huja kuwa,comes into being,End 4.2
qing-dynasty,1636-1912,1636-1912,
qing-dynasty_c,Nasaba ya Qing,Qing dynasty,1636-1912
ming-dynasty,1368-1644,1368-1644,
ming-dynasty_c,Nasaba ya Ming katika Imperial China,Ming dynasty in imperial China,1368-1644
yuan-dynasty,1271-1368,1271-1368,
southern-song,1127-1279,1127-1279,
northern-song,960-1127,960-1127,
western-xia,1038-1227,1038-1227,
yuan-dynasty_c,Yuan,Yuan,1271-1368
southern-song_c,Wimbo wa Kusini,Southern Song,1127-1279
northern-song_c,Wimbo wa Kaskazini,Northern Song,960-1127
western-xia_c,Western Xia,Western Xia,1038-1227
Copernicus,Nicolaus Copernicus,Nicolaus Copernicus,
Galileo,Galileo Galilei,Galileo Galilei,Galileo di Vincenzo Bonaiuti de' Galilei
Newton,Isaac Newton,Isaac Newton,
gregorian,Kalenda ya Gregorian 1582,Gregorian calendar 1582,
shang-dynasty,c. 1600-1046 KK,c. 1600-1046 BC,
western-zhou,c. 1046-771 BC,c. 1046-771 BC,
eastern-zhou,770-256 KK,770-256 BC,
qin-dynasty,Qin 221-207 BC,Qin 221-207 BC,
western-han,207 KK - 9 CE,207 BC – 9 CE,
eastern-han,25-220 CE,25-220 CE,
three-kingdoms,Falme tatu 220-280 CE,Three kingdoms 220-280 CE,
sixteen-kingdoms,Falme kumi na sita 304-439 CE,Sixteen kingdoms 304-439 CE,
northern-dynasties,368-581 CE,368-581 CE,
southern-dynasties,420-589 CE,420-589 CE,
tang-dynasty1,,,
tang-dynasty2,"618-690, 705-907","618-690, 705-907",
wu-zhou,690-705 Wu Zhou,690-705 Wu Zhou,
shang-dynasty_c,Nasaba ya Shang,Shang dynasty,c. 1600-1046 BC
western-zhou_c,Zhou Magharibi,Western Zhou,c. 1046-771 BC
eastern-zhou_c,Zhou ya Mashariki,Eastern Zhou,770-256 BC
western-han_c,Western Han,Western Han,207 BC – 9 CE
eastern-han_c,Mashariki Han,Eastern Han,25-220 CE
three-kingdoms_c,China,China,Three kingdoms 220-280 CE
sixteen-kingdoms_c,China,China,Sixteen kingdoms 304-439 CE
northern-dynasties_c,Nasaba za kaskazini,Northern dynasties,368-581 CE
southern-dynasties_c,Nasaba za kusini,Southern dynasties,420-589 CE
tang-dynasty1_c,Tang,Tang,
tang-dynasty2_c,Nasaba ya Tang,Tang dynasty,"618-690, 705-907"
xia-dynasty,Nasaba ya Xia nchini China c. 2070 - c. 1600 KK,Xia dynasty in China c. 2070 – c. 1600 BC,
gonghe,Gonghe Regency 841-828 KK,Gonghe Regency 841-828 BC,
Ashoka,Ashoka (c. 304-232 KK) inakuza Ubuddha,Ashoka (c. 304-232 BC) promotes Buddhism,
siloam-tunnel,Hezekia hupanua handaki ya Siloam,Hezekiah extends Siloam tunnel,c. 742-732 BC
Angloamerica2,"Anglo-American inaonyeshwa na miguu ya chuma iliyochanganywa na udongo katika unabii katika Danieli 2:33, 41-43","Anglo-American is symbolized by the feet of iron mixed with clay in the prophecy in Daniel 2:33, 41-43",
