key,text,notes,english
jesus_service,"যীচুৰ সেৱাৰ ৩.৫ বছৰৰ বাবে নিচানক ১৪, ৩৩ চি.ই. মৃত্যুদণ্ড দিয়া হৈছিল।",,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E."
jesus_life,যীচুৰ জন্ম ২ খ্ৰীষ্টপূৰ্ব।,,Jesus born 2 B.C.E.
exile,৬০৭ ৰ পৰা ৫৩৭ সা.যু. – ৭০ বছৰ (যিৰিমিয়া ২৫: ১১),,607 to 537 B.C.E. – 70 years (Jeremiah 25:11)
exile2,নিৰ্বাসন,,exile
7times,প্ৰকাশিত বাক্য ১২: ৯,,Revelation 12:9
7times2,৭ বাৰ – ২৫২০ বছৰ ৰ পৰা মছিয়াৰাজ্যলৈ ১৯১৪ চনৰ সা.যু. (দানিয়েল ৪: ২৩),,7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23)
ww1,প্ৰথম বিশ্বযুদ্ধ – ১৯১৪-১৯১৮ চি.ই.,,World War I – 1914–1918 C.E.
ww2,দ্বিতীয় বিশ্বযুদ্ধ – ১৯৩৯-১৯৪৫ চি.ই.,,World War II – 1939–1945 C.E.
30_year_war,ইউৰোপত ত্ৰিশ বছৰৰ যুদ্ধ 1618-1648,,Thirty Years' War in Europe 1618-1648
joshua,110 বছৰ,,110 years
joshua2,যিহোচূৱা,,Joshua
caleb,85 বছৰতকৈ অধিক,,more than 85 years
caleb2,কালেব,,Caleb
missionary1,"প্ৰথম মিছনেৰী যাত্ৰা অফ পল, গ. ৪৭-৪৮ চি.ই. বাৰ্ণবাছ আৰু জন মাৰ্কৰ সৈতে",,"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark"
circumcision,"এণ্টিয়াকত চুন্নতৰ বিষয়, যিৰূচালেমত সন্মিলন গ. ৪৯ সা.ই.",,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E."
missionary2,দ্বিতীয় মিছনেৰী যাত্ৰা গ. চিলাছৰ সৈতে 49-52 চি.ই. (চিলভানাছ),,Second Missionary Journey c. 49-52 C.E with Silas (Silvanus)
missionary3,তৃতীয় মিছনেৰী যাত্ৰা গ. 52-56 চি.ই.,,Third Missionary Journey c. 52-56 C.E.
caesarea,চিজাৰিয়া গ. ৫৬-৫৮ চি.ই.-ত পৌলজিম্মাত।,,Paul in custody in Caesarea c. 56-58 C.E.
rome1,পাঁচনি পৌলৰ ৰোমত প্ৰথম কাৰাবাস গ. ৫৯-৬১ চি.ই.,,Paul’s first imprisonment in Rome c. 59-61 C.E.
rome2,"ৰোমত পাঁচনি পৌলৰ দ্বিতীয় কাৰাবাস গ. ৬৫ চি. ২ তীমথিয় লিখা, পাঁচনি পৌলে মৃত্যুদণ্ড প্ৰদান কৰিছিল",,"Paul’s second imprisonment in Rome c. 65 CE, 2 Timothy written, Paul executed"
Julius,জুলিয়াছ,,Julius
Augustus,আগষ্টাছ,,Augustus
Tiberius,টাইবেৰিয়াছ,,Tiberius
Caligula,কেলিগুলা,,Caligula
Claudius,ক্লডিয়াছ,,Claudius
Nero,নিৰো,,Nero
Galba-Otho-Vitellius,"গালবা, ওথো আৰু ভিটেলিয়াছ (চাৰিজন সম্ৰাটৰ বছৰ)",,"Galba, Otho and Vitellius (Year of the Four Emperors)"
Vespasian,ভেস্পাচিয়ান,,Vespasian
event_exodus,১৫১৩ চনৰ ১৫১৩ চনত নিছানত ইজিপ্তৰ পৰা প্ৰস্থান।,,"Exodus from Egypt on Nisan 14th, 1513 B.C.E."
event_division_kingdom,ইজৰাইলৰ বিভাজন ৯৯৭ খ্ৰীষ্টপূৰ্ব,,Division of Israel 997 BCE
event_destruction_samaria,অচিৰিয়াৰ দ্বাৰা সামৰিয়া ৭৪০ খ্ৰীষ্টাব্দ ধ্বংস,Destruction of Samaria 740 B.C.E. by Assyria,Destruction of Samaria 740 B.C.E. by Assyria
event_destruction_samaria2,৭৪০ অচিৰিয়াৰ দ্বাৰা খ্ৰীষ্টাব্দ,was shortened here for 2 lines,740 B.C.E. by Assyria
event_destruction_jerusalem1,"যিৰূচালেম ৬০৭ সা.যু.ই. বাবিলৰ দ্বাৰা ধ্বংস কৰা, ৰাজ্য বিভাজনৰ ৩৯০ বছৰ পিছত (যিহিষ্কেল ৪: ৫)",,"Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)"
event_temple_rebuilt,যিৰূচালেমৰ মন্দিৰটো ৫১৫ খ্ৰীঃপূৰ্বত পুনৰ নিৰ্মাণ কৰা হৈছিল।,,Temple in Jerusalem rebuilt 515 B.C.E.
event_jerusalem_rebuilt,যিৰূচালেমৰ দেৱালখন ে৪৫৫ খ্ৰীঃসাপেক্ষে পুনৰ নিৰ্মাণ কৰা হৈছিল।,,Jerusalem wall rebuilt 455 B.C.E.
event_destruction_jerusalem2,টাইটাছৰ অধীনত ৰোমৰ দ্বাৰা যিৰূচালেম ৭০ খ্ৰীষ্টপূৰ্বত ধ্বংস,,Destruction of Jerusalem 70 C.E. by Rome under Titus
event_1914,জাতিসমূহৰ সময়ৰ শেষত ঈশ্বৰৰ ৰাজ্যই ১৯১৪ চনৰ স্বৰ্গত শাসন কৰিবলৈ আৰম্ভ কৰে। ,,"End of the time of the nations, Gods kingdom starts to rule in heaven 1914 C.E. "
became_king,বয়সত ৰজা হৈছিল,,became king at age
vulgate,জেৰোমৰ দ্বাৰা সম্পূৰ্ণ হোৱা ভালগেট (বাইবেলৰ লেটিন অনুবাদ) গ. ৪০৫ চি.ই.,,Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E.
gutenberg,গুটেনবাৰ্গ বাইবেল মুদ্ৰিত ১৪৫৫,,Gutenberg bible printed 1455
erasmus,১৫১৬ চনৰ ৰটাৰডামৰ ডেচিড্ৰিয়াছ ইৰাচমাছৰ দ্বাৰা প্ৰকাশিত খ্ৰীষ্টান গ্ৰীক শাস্ত্ৰৰ গ্ৰীক পাঠ,,Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516
luther,১৫২২ চনৰ ছেপ্টেম্বৰত লুথাৰ বাইবেলঅনুবাদ,,Luther Bible translation in September 1522
tyndale,টিণ্ডেল ৰ দ্বাৰা ইংৰাজী বাইবেল অনুবাদ ১৫৩৬,,English Bible translation by Tyndale 1536
king_james,ৰজা জেমছ বাইবেল ১৬১১,,King James Bible 1611
69weeks3,"যীচুৱে তেওঁৰ সেৱা ২৯ খ্ৰীষ্টপূৰ্ব (লূক ৩: ১, ২১) আৰম্ভ কৰিলে",,"Jesus starts his service 29 CE (Luke 3:1, 21)"
ransom,সপ্তাহৰ মাজভাগত দানিয়েল ৯: ২৭,,middle of week “sacrifice to cease” Daniel 9:27
cornelius,কৰ্ণেলিয়াছে ৭০ সপ্তাহৰ শেষত (দানিয়েল ৯: ২৪) ৩৬ সা.ই.,,Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E.
columbus,আমেৰিকাত প্ৰাক-কলম্বিয়ান সময়ৰ সমাপ্তি 1492,,end of the pre-columbian period in the Americas 1492
declaration_independence,আমেৰিকাত 13 টা উপনিবেশৰ স্বাধীনতা ঘোষণা 1776,,declaration of independence of 13 colonies in America 1776
tischendorf,টিচেনডৰ্ফে ১৮৪৪ চনত চতুৰ্থ শতিকাৰ পৰা কোডেক্স চিনাইটিকাছ আৱিষ্কাৰ কৰে,,Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844
dead_sea_scrolls,মৃত সাগৰৰ স্ক্ৰল লিখা হৈছে,,Dead Sea Scrolls written
septuagint,চেপ্টুজিন্ট এলএক্সএক্স অনুবাদ কৰা হৈছে,,Septuagint LXX translated
watchtower,"১৮৭৯ চনত ""জায়নচ ৱাচ টাৱাৰ এণ্ড হেৰাল্ড অৱ ক্ৰিষ্টছ প্ৰেজেঞ্চ"" শীৰ্ষক প্ৰথম সংখ্যাটো প্ৰকাশ িত হয়",,The first issue of “Zion’s Watch Tower and Herald of Christ’s Presence” is published in 1879
photodrama,"১৯১৪ চনৰ ১১ জানুৱাৰীত নিউয়ৰ্কত প্ৰথমবাৰৰ বাবে ""সৃষ্টিৰ ফটো-ড্ৰামা"" প্ৰদৰ্শন কৰা হয়",,"The “Photo-Drama of Creation” is first shown in New York on January 11, 1914"
jehovahs_witnesses,"বাইবেলৰ শিক্ষাৰ্থীসকলে এক নতুন নাম গ্ৰহণ কৰিছিল – যিহোৱাৰ সাক্ষীসকল। কলম্বাচ, ওহাইঅ' ১৯৩১ ত",,"The Bible Students adopted a new name – Jehovah’s Witnesses. In Columbus, Ohio, 1931"
gilead_school,"১৯৪৩ চনৰ ১ ফেব্ৰুৱাৰী, সোমবাৰে প্ৰহৰীবুৰুজ বাইবেল স্কুল অৱ গিলিয়েড আৰম্ভ হৈছিল",,"Watchtower Bible School of Gilead began on Monday, February 1, 1943"
new_world_translation1,"১৯৬০ চনৰ ১৮ জুনত ইংলেণ্ডৰ মানচেষ্টাৰত ""পবিত্ৰ শাস্ত্ৰৰ নতুন বিশ্ব অনুবাদ"" মুকলি কৰা হয়",,"“New World Translation of the Holy Scriptures” released in Manchester, England on June 18, 1960"
truth_book,"১৯৬৮ চনত ""দ্য ট্ৰুথ দ্যাট লিডছ টু ইটাৰ্ণেল লাইফ"" নামৰ কিতাপখন মুকলি কৰা হয়",,The book “The Truth That Leads to Eternal Life” released 1968
metropolitan,2011 চনত মেট্ৰ'পলিটান সাক্ষীৰ আৰম্ভণি,,Start of metropolitan witnessing in 2011
jw_org,ডিচেম্বৰ 2012 ত ৰাজ্য মন্ত্ৰালয়ত নিৰ্দেশনাৰ সৈতে JW.ORG আৰম্ভ,,Start of JW.ORG with instructions in kingdom ministry December 2012
new_world_translation2,"২০১৩ চনৰ বাৰ্ষিক সভাত সংশোধিত ""পবিত্ৰ শাস্ত্ৰৰ নতুন বিশ্ব অনুবাদ"" মুকলি কৰা হৈছে",,Revised “New World Translation of the Holy Scriptures” released at annual meeting 2013
jw_broadcasting,অক্টোবৰ 2014-ত জেডব্লিউ.সম্প্ৰচাৰ আৰম্ভ,,Start of jw.broadcasting in October 2014
meeting_workbook,"জানুৱাৰী 2016-ৰ পৰা আৰম্ভ হোৱা ""মিটিং ৱৰ্কবুক""ৰ সৈতে মিডউইক মিটিংৰ নতুন বিন্যাস",,New format of midweek meeting with “meeting workbook” starting January 2016
covid19,ক'ভিড-19,,Covid-19
cold_war,"ভূ-ৰাজনৈতিক পৰিস্থিতি ""শীতল যুদ্ধ"" 1945-1991 লেবেল যুক্ত",,Geopolitical situation labeled “Cold War” 1945-1991
timeline_created,"এই সময়ৰেখাটো 2023 চনত সৃষ্টি কৰা হৈছিল, যি মানৱ ইতিহাসৰ আটাইতকৈ গৰম বছৰ আৰু যোৱা 125,000 বছৰ",,"This timeline was created in 2023, the hottest year in human history and the last 125,000 years"
codex_sinaiticus,কোডেক্স চিনাইটিকাছ লিখা হৈছে,,Codex Sinaiticus written
codex_vaticanus,কোডেক্স ভেটিকানছ লিখা হৈছে,,Codex Vaticanus written
leningrad_codex,লেনিনগ্ৰাড কোডেক্স কায়ৰো খ্ৰীষ্টাব্দ 1008 ত লিখা,,Leningrad Codex written in Cairo AD 1008
john,"যোহনে পাটমোছ ৯৬-৯৮ চি.ই.-ত নিৰ্বাসিত হৈ ""প্ৰকাশ"" লিখিছে।",,John writes “revelation” while exiled on Patmos 96-98 C.E.
nicaea1,নিকিয়াৰ প্ৰথম পৰিষদ,,First Council of Nicaea
buddha,বুদ্ধ – সিদ্ধাৰ্থ গৌতম গ.563-গ.483 খ্ৰীঃ,,The Buddha – Siddhartha Gautama c.563-c.483 B.C.E
buddha2,বুদ্ধ বৈকল্পিকভাৱে গ. 480-400 খ্ৰীঃ,,Buddha alternatively c. 480-400 B.C.E.
mohammed,মহম্মদ গ. ৫৭০-৬৩২ চি.ই.,,Mohammed c. 570-632 C.E.
confucius,কনফুচিয়াছ চি.551-চি.479 খ্ৰীঃচি.ই.,,Confucius c.551-c.479 B.C.E.
hijrah,হিজৰা - মক্কাৰ পৰা মদিনালৈ যাত্ৰা 16 জুলাই 622,,Hijrah - Journey Mecca to Medina 16 July 622
moses_escape,"১৫৫৩ সা.যু.ই. মোচিয়ে মিচৰৰ পৰা পলাই যাব লাগিব – যাত্ৰাপুস্তক ২: ১৫, পাঁচনিৰ কৰ্ম্ম ৭: ২৩",,"1553 B.C.E. Moses has to escape Egypt – Exodus 2:15, Acts 7:23"
10plagues,১৫১৩ খ্ৰীষ্টাব্দত ইজিপ্তত ১০ টা প্লেগ হয়,,1513 B.C.E Egypt receives 10 plagues
joseph_sold,যোচেফক 17 বছৰ বয়সত দাস হিচাপে বিক্ৰী কৰা হৈছিল – জেনেৰ 37: 2,,Joseph sold as slave at the age of 17 – Gen 37:2
infliction,৪০০ বছৰৰ আক্ৰমণ (পাঁচনিৰ কৰ্ম্ম ৭: ৬) – ইশ্মায়েল ১৯১৩ খ্ৰীঃ সা.যু.ই.,,400 year infliction (Acts 7:6) – Ishmael 1913 B.C.E
Alexander,আলেকজেণ্ডাৰ দ্য গ্ৰেট (দানিয়েল ১১: ৩),,Alexander the Great (Daniel 11:3)
persia,"চাইৰাছ দ্য গ্ৰেট, কেম্বিচ ২, ডাৰিউচ আই ৪৯০ খ্ৰীষ্টপূৰ্ব, জাৰ্ক্সেছ ১ ৪৮০ খ্ৰীষ্টপূৰ্ব (এষ্টাৰৰ স্বামী, দানিয়েল ১১: ২)",,"Cyrus the Great, Cambyses II, Darius I 490 BCE, Xerxes I 480 BCE (husband of Esther, Daniel 11:2)"
persia2,পাৰ্চিয়া,,Persia
king_north,"চেলুকাছ আই নিকাটৰ (ভি5) চিৰিয়াৰ পৰা এণ্টিওচাছ তৃতীয় (ভি10) আৰু চেলুকাছ চতুৰ্থ (ভি18, 19) অক্টাভিয়ান (ভি20) আৰু টাইবেৰিয়াছ (ভি21-24) লৈ নামি আহিছে",,"Seleucus I Nicator (v5) Syria to Antiochus III (v10) and Seleucus IV (v18, 19) down to Octavian (v20) and Tiberius (v21-24)"
king_north1,উত্তৰৰ ৰজা,,King of the North
king_south,"টলেমি আই, 2, 3, আইভি (ভি11, 12), ভি (ভি15, 16) যুদ্ধ এক্টিয়াম 31 বি.চি.ই. লৈ।",,"Ptolemy I, II, III, IV (v11, 12), V (v15, 16) to the battle Actium 31 B.C.E."
king_south1,দক্ষিণৰ ৰজা,,King of the South
king_south2,"ব্ৰিটিছ সাম্ৰাজ্য 1870, 1914 চনৰ পৰা এংলো-আমেৰিকান ৱৰ্ল্ড পাৱাৰ",,"British empire 1870, Anglo-American World Power since 1914"
king_south3,দক্ষিণৰ ৰজা,,King of the South
king_north2,"সম্ৰাট উইলিয়াম ১১৮৭১ (ভি২৮), ১৯১৪ (ভি২৯), ১৯৩৫ (ভি৩০বি), ১৯৩৯ (ভি৩১এ)ৰ সৈতে জাৰ্মানী",,"Germany with Emperor William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)"
king_north3,উত্তৰ,,North
king_north4,"ছোভিয়েট ইউনিয়ন ১৯৪৫-১৯৯১ (দানিয়েল ১১: ৩২-৩৯, ৪০বি, ৪১)",,"Soviet Union 1945-1991 (Daniel 11:32-39, 40b, 41)"
king_north5,২০১৭ চনৰ পৰা ৰাছিয়া (ডব্লিউ২০ মে),,Russia since 2017 (w20 May)
time_of_end,"খ্ৰীষ্টৰ উপস্থিতি, বস্তুৰ প্ৰণালীৰ উপসংহাৰ (মেট ২৪: ৩), অন্তিম দিন (২টিআই ৩: ১)",,"Presence of Christ, Conclusion of the system of things (Matt 24:3), the last days (2Ti 3:1)"
time_of_end2,অন্তিম দিনসমূহ,,last days
suryavaman2,ৰজা সূৰ্যবৰ্মন দ্বিতীয়ই আংকোৰ ৱাট 1113-1150 নিৰ্মাণ কৰে,,King Suryavarman II builds Angkor Wat 1113-1150
notre-dame,নটৰ-ডেম ডি পেৰিছে 1163-1260 নিৰ্মাণ কৰিছিল,,Notre-Dame de Paris built 1163-1260
jehoiada,জেহোয়াদা,,Jehoiada
babel,নিৰ্মিত বেবেলৰ টাৱাৰ,,tower of Babel built
Haggai,হাগ্গাই,,Haggai
Zephaniah,চফনিয়াহ,,Zephaniah
Zerubbabel,জেৰুব্বাবেল (লূক ৩: ২৭),,Zerubbabel (Luke 3:27)
Babylon,"দানিয়েল ২: ৩২, ৩৬-৩৮; 7:4",,"Daniel 2:32, 36-38; 7:4"
Medopersia,"দানিয়েল ২: ৩২, ৩৯; 7:5",,"Daniel 2:32, 39; 7:5"
Greece,"দানিয়েল ২: ৩২, ৩৯; 7:6",,"Daniel 2:32, 39; 7:6"
Rome,"দানিয়েল ২: ৩৩, ৪০; 7:7",,"Daniel 2:33, 40; 7:7"
Angloamerica,"দানিয়েল ২: ৩৩, ৪১-৪৩",,"Daniel 2:33, 41-43"
Babylon_c,বেবিলন,,Babylon
Medopersia_c,মেডো-পাৰ্চিয়া,,Medo-Persia
Greece_c,গ্ৰীছ,,Greece
Rome_c,ৰোম,,Rome
Angloamerica_c,এংলো-আমেৰিকা,,Anglo-America
infliction1,400 বছৰৰ আক্ৰমণ,Acts 7:6,400 year infliction
infliction2,কাৰ্য্য ৭: ৬,,Acts 7:6
Jacob2,জেকব/,Jacob/Israel 1858-1711 – 147 years,Jacob/
Israel,ইজৰাইল,,Israel
Sarah,চাৰাহ,2008-1881 BCE – 127 years,Sarah
Hagar,হাগৰ,Genesis 21:14,Hagar
Haran,হৰণ,Genesis 11:26,Haran
Nahor,নাহোৰ,,Nahor
Reumah,ৰিউমাহ,Concubine – 4 sons,Reumah
Milcah,মিলকাহ,8 sons (Bethuel and 7 more),Milcah
Lot,লট,,Lot
Lots_wife,লটৰ পত্নী,,Lot’s wife
Lots_daughters,লটৰ কন্যা,,Daughters of Lot
Moab,মোৱাব (ডাঙৰ ছোৱালী),,Moab (older daughter)
Ammon,বেন-আম্মি (অম্মোন),,Ben-ammi (Ammon)
Bethuel,বেথুৱেল,,Bethuel
Rebekah,ৰিবেকা,,Rebekah
Laban,লাবান,,Laban
Leah,লিয়া,Genesis 35:23,Leah
Rachel,ৰাচেল,Genesis 35:24,Rachel
Bilhah,বিলহাহ,Genesis 35:25,Bilhah
Zilpah,জিলপাহ,Genesis 35:26,Zilpah
Reuben,ৰুবেন,,Reuben
Simeon,চিমিওন,,Simeon
Levi,লেভি,,Levi
Judah,যিহূদা,,Judah
Issachar,ইছাচাৰ,,Issachar
Zebulun,জেবুলুন,,Zebulun
Dinah,দিনা,Genesis 34,Dinah
Esau,এচাউ/,,Esau/
Edom,এডম,Genesis 36:1,Edom
Ishmael,ইশ্মায়েল,,Ishmael
Manasseh2,(মানসেহ,,(Manasseh
Ephraim,আৰু ইফ্ৰাইম),,and Ephraim)
Benjamin,বেঞ্জামিন,,Benjamin
Dan,ডেন,,Dan
Naphtali,নাফতালি,,Naphtali
Gad,গেড,,Gad
Asher,আছাৰ,,Asher
Milcah1,"উজ, বুজ, কেমুৱেল,",,"Uz, Buz, Kemuel,"
Milcah2,"চেচড, হাজো,",,"Chesed, Hazo,"
Milcah3,"পিলদাশ, জিদ্লাফ",,"Pildash, Jidlaph"
Tebah,তেবাহ,,Tebah
Gaham,গাহাম,,Gaham
Tahash,তাহাশ,,Tahash
Maacah,মাকাহ,,Maacah
Mahalath,মহালথ/,"Genesis 28:8, 9",Mahalath/
Basemath,আধাৰ·গণিত,"Genesis36:3, 4",Base·math
Reuel,ৰিউৱেল,"36:13, 17",Reuel
Nahath,নাহাথ,,Nahath
Zerah,জেৰাহ,,Zerah
Schammah,শ্চাম্মা,,Schammah
Mizzah,মিজ্জাহ,,Mizzah
Adah,আদাহ,"36:11, 12, 15, 16",Adah
Eliphaz,এলিফাজ,,Eliphaz
Teman,তেমান,,Teman
Omar,ওমৰ,,Omar
Zepho,জেফো,,Zepho
Kenaz,কেনাজ,,Kenaz
Korah,কোৰাহ,,Korah
Gatam,গাটাম,,Gatam
Amalek,আমালেক,,Amalek
Oholibamah,ওহলিকবামাহ,"36:14, 18",Oholibamah
Jeush,জেউছ,,Jeush
Jalam,জলম,,Jalam
Korah,কোৰাহ,,Korah
Nebaioth,নেবায়োথ,Genesis 25:13,Nebaioth
Kedar,কেদাৰ,,Kedar
Adbeel,এডবিল,,Adbeel
Mibsam,মিবচাম,,Mibsam
Mishma,মিশ্মা,,Mishma
Dumah,ডুমাহ,,Dumah
Massa,মাচা,,Massa
Hadad,হাদাদ,,Hadad
Tema,টেমা,,Tema
Jetur,জেতুৰ,,Jetur
Naphish,নাফিছ,,Naphish
Kedemah,কেডেমাহ,,Kedemah
Babylon2, ,no text left and right – empty!, 
terahfam,তেৰাহৰ পৰিয়ালৰ সদস্যসকল,,members of Terah’s family
rosetta,ৰোচেটা শিল ১৯৬ খ্ৰীৰী),,Rosetta stone 196 B.C.E.
