key	text	english	notes
hijrah	Hijrah - Panagdaliasat Mecca – Medina 16 Hulio 622 	Hijrah - Journey Mecca to Medina 16 July 622	Hijrah - Panagdaliasat manipud Mecca aginggana idiay Medina 16 Hulio 622 
moses_escape	1553 K.K.P. Masapul a tumakas ni Moises idiay Egipto – Exodo 2:15, Aramid 7:23	1553 B.C.E. Moses has to escape Egypt – Exodus 2:15, Acts 7:23	
10plagues	1513 K.K.P., immawat ti Egipto iti 10 a saplit	1513 B.C.E Egypt receives 10 plagues	
joseph_sold	Nailako ni Jose kas adipen idi agtawen iti 17 – Gen 37:2	Joseph sold as slave at the age of 17 – Gen 37:2	
infliction	400 a tawen a pannagsagaba (Aramid 7:6) – Ismael 1913 B.C.E	400 year infliction (Acts 7:6) – Ishmael 1913 B.C.E	
Alexander	Alejandro a Dakkel (Daniel 11:3) .	Alexander the Great (Daniel 11:3)	
persia	Ciro a Dakkel, Cambyses II, Dario I 490 K.K.P., Xerxes I 480 K.K.P. (asawa ni Ester, Daniel 11:2)	Cyrus the Great, Cambyses II, Darius I 490 BCE, Xerxes I 480 BCE (husband of Esther, Daniel 11:2)	
persia2	Persia	Persia	
king_north	Seleuco I Nicator (b5) Siria agingga ken Antioco III (b10) ken Seleuco IV (b18, 19) agingga ken Octavian (b20) ken Tiberio (b21-24) .	Seleucus I Nicator (v5) Syria to Antiochus III (v10) and Seleucus IV (v18, 19) down to Octavian (v20) and Tiberius (v21-24)	
king_north1	Ari ti Amianan	King of the North	
king_south	Tolomeo I, II, III, IV (b11, 12), V (b15, 16) agingga iti gubat Actium 31 K.K.P.	Ptolemy I, II, III, IV (v11, 12), V (v15, 16) to the battle Actium 31 B.C.E.	
king_south1	Ari ti Abagatan	King of the South	
king_south2	Imperio ti Britania 1870, Anglo-American World Power manipud idi 1914	British empire 1870, Anglo-American World Power since 1914	
king_south3	Ari ti Abagatan	King of the South	
king_north2	Alemania (Emperador Guillermo I)1871 (b28), 1914 (b29), 1935 (b30b), 1939 (b31a) .	Germany with Emperor William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)	
king_north3	Amianan	North	
king_north4	Union ti Soviet 1945-1991 (Daniel 11:32-39, 40b, 41) .	Soviet Union 1945-1991 (Daniel 11:32-39, 40b, 41)	
king_north5	Rusia manipud idi 2017 (w20 Mayo) .	Russia since 2017 (w20 May)	
time_of_end	Sinyales ti Kaadda ti Cristo, Ngudo ti sistema ti bambanag (Mat 24:3), maudi nga al-aldaw (2Ti 3:1) 	Presence of Christ, Conclusion of the system of things (Matt 24:3), the last days (2Ti 3:1)	Sinyales ti Kaadda ti Cristo, Ngudo ti sistema ti bambanag (Mat 24:3), dagiti maudi nga al-aldaw (2Ti 3:1) .
time_of_end2	maudi nga al-aldaw	last days	
suryavaman2	Ni Ari Suryavarman II ket nangibangon ti Angkor Wat 1113-1150	King Suryavarman II builds Angkor Wat 1113-1150	
notre-dame	Ti Notre-Dame de Paris ket naibangon idi 1163-1260	Notre-Dame de Paris built 1163-1260	
ming-dynasty	Dinastia ti Ming idiay imperial a Tsina 1368-1644	Ming dynasty in imperial China 1368-1644	
jehoiada	Jehoiada	Jehoiada	
babel	Naibangon ti torre ti Babel 	tower of Babel built	
Haggai	Haggeo	Haggai	
Zephaniah	Zacarias	Zephaniah	
Zerubbabel	Zerubabel	Zerubbabel	
