key,text,english,notes,tag,checked
new_world_translation1,"«New World Translation of the Holy Scriptures» utgitt i Manchester, England 18. juni 1960, gjeninnfører navnet Jehova i mange deler av Bibelen","“New World Translation of the Holy Scriptures” released in Manchester, England on June 18, 1960, reintroduces the name Jehovah in many parts of the Bible",hightlight reintroduction of Jehovah’s name,text,False
new_world_translation2,"Revidert ""New World Translation of the Holy Scriptures"" utgitt på årsmøtet 2013, optimalisert for bruk digitalt og online","Revised “New World Translation of the Holy Scriptures” released at annual meeting 2013, optimized to be used digitally and online",new edition with digital and online in mind,text,False
cold_war,"Geopolitisk situasjon merket ""Kald krig"" 1945-1991",Geopolitical situation labeled “Cold War” 1945-1991, ,text,False
timeline_created,"Denne tidslinjen ble opprettet i 2023, det varmeste året i menneskets historie og de siste 125 000 årene","This timeline is created in 2023, the hottest year in human history and the last 125,000 years", ,text,False
codex_sinaiticus,Codex Sinaiticus skrevet,Codex Sinaiticus written, ,text,False
codex_vaticanus,Codex Vaticanus skrevet,Codex Vaticanus written, ,text,False
leningrad_codex,Leningrad Codex skrevet i Kairo 1008 e.Kr,Leningrad Codex written in Cairo AD 1008, ,text,False
john,Johannes skriver «åpenbaring» mens han var i eksil på Patmos 96–98 e.v.t.,John writes “revelation” while exiled on Patmos 96-98 C.E., ,text,False
buddha,Buddha – Siddhartha Gautama c.563-c.483 B.C.E,The Buddha – Siddhartha Gautama c.563-c.483 B.C.E, ,text,False
buddha2,Buddha alternativt c. 480–400 f.Kr.,Buddha alternatively c. 480-400 B.C.E., ,text,False
mohammed,Mohammed c. 570-632 e.Kr.,Mohammed c. 570-632, ,text,False
confucius,Konfucius ca. 551 - ca. 479 f.Kr.,Confucius c.551-c.479 B.C.E., ,text,False
hijrah,Hijrah - Reise Mekka til Medina 16. juli 622,Hijrah - Journey Mecca to Medina 16 July 622, ,text,False
moses_escape,"1553 f.Kr. Moses må rømme Egypt – 2. Mosebok 2:15, Apg 7:23","1553 B.C.E. Moses has to escape Egypt – Exodus 2:15, Acts 7:23", ,text,False
10plagues,1513 f.Kr. Egypt mottar 10 plager,1513 B.C.E Egypt receives 10 plagues, ,text,False
joseph_sold,Josef solgte som slave i en alder av 17 – 1 Mos 37:2,Joseph sold as slave at the age of 17 – Gen 37:2, ,text,False
infliction,400 år påvirkning (Apg 7:6) – Ismael 1913 f.Kr.,400 year infliction (Acts 7:6) – Ishmael 1913 B.C.E, ,text,False
Alexander,Alexander den store (Daniel 11:3),Alexander the Great (Daniel 11:3), ,text,False
persia,"Kyros den store, Kambyses II, Dareios I 490 f.Kr., Xerxes I 480 f.Kr. (Esters ektemann, Daniel 11:2)","Cyrus the Great, Cambyses II, Darius I 490 BCE, Xerxes I 480 BCE (husband of Esther, Daniel 11:2)", ,text,False
king_north,"Seleucus I Nicator (v5) Syria til Antiochus III (v10) og Seleucus IV (v18, 19) ned til Octavian (v20) og Tiberius (v21-24)","Seleucus I Nicator (v5) Syria to Antiochus III (v10) and Seleucus IV (v18, 19) down to Octavian (v20) and Tiberius (v21-24)", ,text,False
king_north1,Nordens konge,King of the North, ,text,False
king_south,"Ptolemaios I, II, III, IV (v11, 12), V (v15, 16) til slaget Actium 31 B.C.E.","Ptolemy I, II, III, IV (v11, 12), V (v15, 16) to the battle Actium 31 B.C.E.", ,text,False
king_south1,Sørens konge,King of the South, ,text,False
king_south2,"Britisk imperium 1870, anglo-amerikansk verdensmakt siden 1914","British Empire 1870, Anglo-American World Power since 1914", ,text,False
king_south3,Sørens konge,King of the South, ,text,False
king_north2,"Tyskland med keiser Vilhelm I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)","Germany with Emperor William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)", ,text,False
king_north3,Nord,North, ,text,False
king_north4,"Sovjetunionen 1945-1991 (Daniel 11:32-39, 40b, 41)","Soviet Union 1945-1991 (Daniel 11:32-39, 40b, 41)", ,text,False
king_north5,Russland siden 2017 (w20. mai),Russia since 2017 (w20 May), ,text,False
time_of_end,"Kristi nærvær, avslutning av tingenes ordning (Matteus 24:3), de siste dager (2 Timoteus 3:1)","Presence of Christ, Conclusion of the system of things (Matthew 24:3), the last days (2 Timothy 3:1)",scriptures written out,text,False
time_of_end2,De siste dagene,Last days, ,text,False
suryavaman2,Kong Suryavarman II bygger Angkor Wat 1113-1150,King Suryavarman II builds Angkor Wat 1113-1150, ,text,False
notre-dame,Notre-Dame de Paris bygget 1163-1260,Notre-Dame de Paris built 1163-1260, ,text,False
babel,Babels tårn bygget,Tower of Babel built, ,text,False
infliction1,400 års påføring,400 year infliction,Acts 7:6,text,False
Lots_wife,Lots kone,Lot’s wife, ,text,False
Lots_daughters,Lots døtre,Daughters of Lot, ,text,False
Moab,Moab (eldre datter),Moab (older daughter),Genesis 19:37,text,False
rosetta,Rosettastein 196 B.C.E.,Rosetta stone 196 B.C.E., ,text,False
Herodotus,"Herodot c. 484 – ca. 425 f.Kr., skriver The Histories","Herodotus c. 484 – c. 425 BC, writes The Histories",Father of History,text,False
Aristotle,Aristoteles 384 – 322 f.Kr,Aristotle 384 – 322 BC,"The First Teacher, The Philosopher",text,False
Ptolemy,Ptolemaios ca 100 - ca. 170 e.Kr.,Ptolemy c 100 – c. 170 C.E., ,text,False
Pythagoras,Pythagoras c. 570 – ca. 495 f.Kr,Pythagoras c. 570 – c. 495 BC, ,text,False
Plato,Platon c. 427 – ca. 348 f.Kr,Plato c. 427 – c. 348 BC, ,text,False
Socrates,Sokrates c. 470 – ca. 399 f.Kr,Socrates c. 470 – c. 399 BC, ,text,False
Josephus,Josefus c. 37 – c. 100 e.Kr.,Josephus c. 37 – c. 100 C.E., ,text,False
Cicero,Cicero 106–43 f.Kr,Cicero 106–43 BC,"influence on Latin language, 3 Jan 106 BC – 7 Dec 43 BC",text,False
lachish_letters,Lachish-bokstaver c. 590 f.Kr.,Lachish letters c. 590 B.C.E., ,text,False
lachish_reliefs,Lachish-relieffer c. 681 f.Kr.,Lachish reliefs c. 681 B.C.E., ,text,False
mesha_stele,Mesha Stele (moabittisk stein) ca. 840 f.Kr.,Mesha Stele (Moabite stone) c. 840 B.C.E., ,text,False
gilgamesh,Gilgamesh og Aga 𒇽𒆥𒄄𒀀𒀝𒂵,Gilgamesh and Aga 𒇽𒆥𒄄𒀀𒀝𒂵, ,text,False
epic_gilgamesh,Epos av Gilgamesh (Sîn-lēqi-unninni),Epic of Gilgamesh (Sîn-lēqi-unninni), ,text,False
gregorian,gregoriansk kalender 1582,Gregorian calendar 1582, ,text,False
shang-dynasty,c. 1600-1046 f.Kr,c. 1600-1046 BC, ,text,False
western-zhou,c. 1046-771 f.Kr,c. 1046-771 BC, ,text,False
qin-dynasty,Qin 221-207 f.Kr,Qin 221-207 BC, ,text,False
western-han,207 f.Kr. – 9 e.Kr,207 BC – 9 CE, ,text,False
three-kingdoms,Tre riker 220-280 e.Kr,Three kingdoms 220-280 CE, ,text,False
sixteen-kingdoms,Seksten riker 304-439 e.Kr,Sixteen kingdoms 304-439 CE, ,text,False
tang-dynasty2,"618-690, 705-907","618-690, 705-907", ,text,False
wu-zhou,690-705 Wu Zhou,690-705 Wu Zhou, ,text,False
tang-dynasty1_c,Tang,Tang, ,text,False
gonghe,Gonghe Regency 841-828 f.Kr,Gonghe Regency 841-828 BC, ,text,False
Ashoka,Ashoka (ca. 304-232 f.Kr.) fremmer buddhismen,Ashoka (c. 304-232 BC) promotes Buddhism, ,text,False
siloam-tunnel,Hiskia forlenger Siloam-tunnelen,Hezekiah extends Siloam tunnel,c. 742-732 BC,text,False
Angloamerica2,"Anglo-amerikansk er symbolisert ved føttene av jern blandet med leire i profetien i Daniel 2:33, 41-43","Anglo-American is symbolized by the feet of iron mixed with clay in the prophecy in Daniel 2:33, 41-43", ,text,False
Manetho,Manetho skriver Aegyptiaca,Manetho writes Aegyptiaca, ,text,False
destruction_babylon,"Ødeleggelsen av Babylon den store (Åpenbaringen 17:3, 15-18; 18:9, 10)","Destruction of Babylon the Great (Revelation 17:3, 15-18; 18:9, 10)",beginning of great tribulation (GT),text,False
gog_of_magog,"Angrep av Gog av Magog (Esekiel 38:1, 2, 9-12, 18-23)","Attack of Gog of Magog (Ezekiel 38:1, 2, 9-12, 18-23)",end of GT,text,False
sheep_goat,Jordens innbyggere vil bli dømt og skille sauer og geiter (Matteus 25:31-33),"Earth’s inhabitants are judged, separating sheep and goats (Matthew 25:31-33)",end of GT,text,False
annointed,Innsamling av Rikets herskere (Matteus 24:31; 1 Korinter 15:50–53; 1 Tessaloniker 4:15–17),Gathering of Kingdom rulers (Matthew 24:31; 1 Corinthians 15:50-53; 1 Thessalonians 4:15-17),end of GT,text,False
armageddon,"Slaget ved Harmageddon (Åpenbaringen 16:14, 16; Jesaja 13:9; 2 Peter 3:12)","Battle of Armageddon (Revelation 16:14, 16; Isaiah 13:9; 2 Peter 3:12)",end of system of things,text,False
millenium,"Guds rike begynner sitt 1000-årige styre (Åpenbaringen 5: 9, 10; 20: 4, 6)","God’s Kingdom begins its 1000-year reign (Revelation 5:9, 10; 20:4, 6)", ,text,False
great_crowd,"En stor folkemengde overlever Harmageddon (Åpenbaringen 7:9, 14; Salme 37:9-11)","A great crowd survives Armageddon (Revelation 7:9, 14; Psalm 37:9-11)", ,text,False
world_population,Verdens befolkning i milliarder de siste 2000 årene,World population in billions in the last 2000 years, ,text,False
khmer_empire_c,Khmer-riket - Angkor-perioden,Khmer Empire - Angkor period, ,text,False
holy_roman_empire_c,Det hellige romerske rike - kjent som det hellige romerske rike av den tyske nasjonen etter 1512,Holy Roman Empire – known as Holy Roman Empire of the German Nation after 1512, ,text,False
mongol_empire,Mongolriket 1206–1294,Mongol Empire 1206 – 1294, ,text,False
maya_classic_c,Maya-sivilisasjonen – Klassisk periode,Maya civilization – Classic period, ,text,False
maya_postclassic_c,Maya-sivilisasjonen - Postklassisk periode,Maya civilization – Postclassic period, ,text,False
Teotihuacan,"Største by i Amerika, pyramider bygger ca. 200 e.Kr.","Largest city in the Americas, pyramids build c. 200 C.E.", ,text,False
Dionysius_Exiguus,"Dionysius Exiguus, oppfinneren av Anno Domini","Dionysius Exiguus, inventor of Anno Domini", ,text,False
Umayyad_c,Umayyad,Umayyad, ,text,False
ur3,Ur III-dynastiet 💋𒀕𒆠,Ur III Dynasty 𒋀𒀕𒆠, ,text,False
hammurabi,Hammurabi 𒄩𒄠𒈬𒊏𒁉,Hammurabi 𒄩𒄠𒈬𒊏𒁉, ,text,False
Al-Khwarizmi,al-Khwarizmi skriver Al-Jabr (Algebra),al-Khwarizmi writes Al-Jabr (Algebra), ,text,False
al-azhar,Al-Azhar University er etablert i Kairo,Al-Azhar University is established in Cairo, ,text,False
Ibn-Sina,Ibn Sina eller Avicenna,Ibn Sina or Avicenna, ,text,False
life-expectancy,Forventet levealder 75 år,Life expectancy 75 years, ,text,False
430years_c,"430 år: 2. Mosebok 12:41, Galaterne 3:17","430 years: Exodus 12:41, Galatians 3:17",2024-12-24,text,False
maya_calendar,Beregnet begynnelsen av Maya-kalenderen 11. august 3114 f.Kr.,"Calculated beginning of Maya calendar August 11, 3114 B.C.E.",2024-12-25,text,False
xia-dynasty2,c. 2070 – ca. 1600 f.Kr.; Era hentydet først under den vestlige Zhou-perioden,c. 2070 – c. 1600 BC; Era first alluded during the Western Zhou period,2025-01-02,text,False
xia-dynasty2_c,Xia-dynastiet i Kina,Xia dynasty in China, ,text,False
tres_zapotes,3. september 32 f.Kr.,"September 3rd, 32 B.C.E.",2024-12-31,text,False
joseph_jacob_reunited,Josef og Jakob ble gjenforent i Egypt – 1728 f.Kr. (1Mo 45:11; 47:9),Joseph and Jacob reunited in Egypt – 1728 B.C.E. (Gen 45:11; 47:9),2025-01-01,text,False
king_south_light_c,Kongen av Sør fra Daniel 11,King of the South from Daniel 11,2025-02-05,text,False
king_north_light_c,Nordens konge fra Daniel 11,King of the North from Daniel 11,2025-02-05,text,False
daniel2_iron_c,Jernben fra Daniel 2,Iron legs from Daniel 2,2025-02-05,text,False
argenteus,Codex Argenteus c. 505,Codex Argenteus c. 505,written copy of Wulfila Bible,text,False
nguyen_dynasty_c,Nguyễn,Nguyễn,2025-09-20,text,False
edo_c,Edo-perioden i Japan,Edo period in Japan,Edo period (Tokugawa shogunate),text,False
meiji_c,Meiji,Meiji,2025-09-20,text,False
american_civil_war,Amerikansk borgerkrig 1861-1865,American Civil War 1861-1865,"April 12, 1861 to May 26, 1865",text,False
aleppo_codex,Aleppo Codex c. 920,Aleppo Codex c. 920,2025-10-03,text,False
vandals,Kingdom of the Vandals and Alans 435 – 534,Kingdom of the Vandals and Alans 435 – 534,Vandals 435-534 C.E.,text,False
francia,"c. 481/509 – 843, merovinger til 751, deretter karolingisk","c. 481/509 – 843, Merovingian till 751, then Carolingian",Kingdom of the Franks (Regnum Francorum) c. 481/509-843 treaty of Verdun,text,False
francia_c,Frankenes rike,Kingdom of the Franks, ,text,False
100_years_war,Hundreårskrigen 1337–1453,Hundred Years’ War 1337 – 1453,1337–1453,text,False
black_death,Svartedauden 1346-1353,Black death 1346-1353,1346-1353,text,False
sui_dynasty,581-618 Sui-dynastiet,581-618 Sui dynasty,2025-11-09,text,False
sui_dynasty_c,Sui,Sui,2025-11-09,text,False
tribulation,"Den store trengsel (Mark 13:19; Daniel 12:1; Matt 24:21, 22)","The Great Tribulation (Mark 13:19; Daniel 12:1; Matt 24:21, 22)", ,text,False
Adam,Adam,Adam,Luke 3:38,bible,True
Seth,Seth,Seth, ,bible,True
Enosh,Enosh,Enosh, ,bible,True
Kenan,Kenan,Kenan (Cainan), ,bible,False
Mahalalel,Mahalalel,Mahalalel (Mahalaleel), ,bible,False
Jared,Jared,Jared, ,bible,True
Enoch,Enok,Enoch, ,bible,True
Methuselah,Metusalem,Methuselah,Luke 3:37,bible,True
Lamech,Lamech,Lamech, ,bible,False
Noah,Noah,Noah, ,bible,False
Shem,Shem,Shem, ,bible,False
Arpachshad,Arpachshad,Arpachshad,Luke 3:36,bible,False
Shelah,Shelah,Shelah, ,bible,False
Eber,Eber,Eber, ,bible,False
Peleg,Peleg,Peleg, ,bible,False
Reu,Reu,Reu, ,bible,False
Serug,Serug,Serug,Luke 3:35,bible,False
Nahor,Nahor,Nahor, ,bible,False
Terah,Terah,Terah, ,bible,False
Abraham,Abraham,Abraham, ,bible,False
Isaac,Isak,Isaac, ,bible,False
Jacob,Jacob,Jacob,Luke 3:34,bible,False
Joseph,Josef,Joseph,Genesis 37,bible,False
Moses,Moses,Moses, ,bible,False
Othniel,Othniel,Othniel,Judges 3:9-11,bible,False
Ehud,Ehud,Ehud,Judges 3:15-18,bible,False
Shamgar,Shamgar,Shamgar,Judges 3:31,bible,False
Barak,Barak,"Barak, Deborah, Jael",Judges 4:6,bible,False
Gideon,Gideon,Gideon,Judges 7:1,bible,False
Tola,Tola,Tola,Judges 10:1,bible,False
Jair,Jair,Jair,Judges 10:3,bible,False
Jephthah,Jefta,Jephthah,Judges 11:1,bible,False
Ibzan,Ibzan,Ibzan,Judges 12:8,bible,False
Elon,Elon,Elon,Judges 12:11,bible,False
Abdon,Abdon,Abdon,Judges 12:13,bible,False
Samson,Samson,Samson,Judges 13:24,bible,False
Samuel,Samuel,Samuel,1 Samuel 1:20,bible,False
Saul,Saul,Saul,1 Samuel 9:2,bible,False
David,David,David,1 Samuel 16:13,bible,False
Solomon,Salomo,Solomon,1 Kings 2:1,bible,False
Malachi,Malakias,Malachi, ,bible,False
Ruth,Ruth,Ruth, ,bible,False
Ezra,Ezra,Ezra, ,bible,False
Nehemiah,Nehemja,Nehemiah, ,bible,False
Esther,Esther,Esther, ,bible,False
Job,Jobb,Job, ,bible,False
moses3,Moses,Moses, ,bible,False
joshua2,Joshua,Joshua, ,bible,False
caleb2,Caleb,Caleb, ,bible,False
Augustus,Augustus,Augustus,Luke 2:1,bible,False
Tiberius,Tiberius,Tiberius,Luke 3:1,bible,False
Claudius,Claudius,Claudius,Acts 11:28,bible,False
persia2,Persia,Persia, ,bible,False
jehoiada,Jojada,Jehoiada,2 Kings 11:4,bible,False
Haggai,Haggai,Haggai, ,bible,False
Zerubbabel,Serubabel (Luk 3:27),Zerubbabel (Luke 3:27),Luke 3:27,bible,False
Jacob2,Jacob/,Jacob/,Jacob/Israel 1858-1711 – 147 years,bible,False
Israel,Israel,Israel,Genesis 35:10,bible,False
Sarah,Sarah,Sarah,"2008-1881 BCE – 127 years, Isaiah 51:2",bible,False
Hagar,Hagar,Hagar,Genesis 21:14,bible,False
Haran,Haran,Haran,Genesis 11:26,bible,False
Reumah,Reumah,Reumah,Concubine – 4 sons 22:24,bible,False
Milcah,Milcah,Milcah,8 sons (Bethuel and 7 more),bible,False
Lot,Lot,Lot,Genesis 11:27,bible,False
Ammon,Ben-ammi (Ammon),Ben-ammi (Ammon),Genesis 19:38,bible,False
Bethuel,Betuel,Bethuel,Genesis 22:23,bible,False
Rebekah,Rebekka,Rebekah, ,bible,False
Laban,Laban,Laban,Genesis 24:29,bible,False
Leah,Leah,Leah,Genesis 35:23,bible,False
Rachel,Rachel,Rachel,Genesis 35:24,bible,False
Bilhah,Bilhah,Bilhah,Genesis 35:25,bible,False
Zilpah,Zilpah,Zilpah,Genesis 35:26,bible,False
Reuben,Ruben,Reuben, ,bible,False
Simeon,Simeon,Simeon, ,bible,False
Levi,Levi,Levi,Genesis 35:23,bible,False
Judah,Juda,Judah, ,bible,False
Issachar,Issakar,Issachar, ,bible,False
Zebulun,Sebulon,Zebulun, ,bible,False
Dinah,Dinah,Dinah,Genesis 34,bible,False
Esau,Esau/,Esau/, ,bible,False
Edom,Edom,Edom,Genesis 36:1,bible,False
Ishmael,Ismael,Ishmael,Genesis 16:16,bible,False
Manasseh2,(Manasse,(Manasseh,Genesis 41:50-52,bible,False
Ephraim,og Efraim),and Ephraim), ,bible,False
Benjamin,Benjamin,Benjamin, ,bible,False
Dan,Dan,Dan,Genesis 35:23,bible,False
Naphtali,Naftali,Naphtali, ,bible,False
Gad,Gad,Gad, ,bible,False
Asher,Asher,Asher, ,bible,False
Milcah1,"Uz, Buz, Kemuel,","Uz, Buz, Kemuel,",Genesis 22:21,bible,False
Milcah2,"Chesed, Hazo,","Chesed, Hazo,", ,bible,False
Milcah3,"Pildash, Jidlaph","Pildash, Jidlaph", ,bible,False
Tebah,Tebah,Tebah,Genesis 22:24,bible,False
Gaham,Gaham,Gaham, ,bible,False
Tahash,Tahash,Tahash, ,bible,False
Maacah,Maacah,Maacah, ,bible,False
Mahalath,Mahalath/,Mahalath/,"Genesis 28:8, 9",bible,False
Basemath,Basemath,Basemath,"Genesis36:3, 4",bible,False
Reuel,Reuel,Reuel,"36:13, 17",bible,False
Nahath,Nahath,Nahath, ,bible,False
Zerah,Zerah,Zerah, ,bible,False
Schammah,Schammah,Schammah, ,bible,False
Mizzah,Mizzah,Mizzah, ,bible,False
Adah,Adah,Adah,"36:11, 12, 15, 16",bible,False
Eliphaz,Elifas,Eliphaz, ,bible,False
Teman,Teman,Teman, ,bible,False
Omar,Omar,Omar, ,bible,False
Zepho,Zepho,Zepho, ,bible,False
Kenaz,Kenaz,Kenaz, ,bible,False
Korah,Korah,Korah, ,bible,False
Korah_Gatam,"Korah, Gatam","Korah, Gatam","Genesis 36:11, 16",bible,False
Amalek,Amalek,Amalek, ,bible,False
Oholibamah,Oholibamah,Oholibamah,"36:14, 18",bible,False
Jeush,Jeush,Jeush, ,bible,False
Jalam,Jalam,Jalam, ,bible,False
Nebaioth,Nebaioth,Nebaioth,Genesis 25:13,bible,False
Kedar,Kedar,Kedar, ,bible,False
Mishma,Mishma,Mishma, ,bible,False
Adbeel_Mibsam,"Adbeel, Mibsam","Adbeel, Mibsam",Genesis 25:13,bible,False
Dumah_Massa,"Dumah, Massa","Dumah, Massa",Genesis 25:14,bible,False
Hadad,Hadad,Hadad, ,bible,False
Tema,Tema,Tema, ,bible,False
Jetur,Jetur,Jetur, ,bible,False
Naphish,Naphish,Naphish, ,bible,False
Kedemah,Kedemah,Kedemah, ,bible,False
Keturah,Keturah,Keturah,Genesis 25:1,bible,False
Zimran,Zimran,Zimran,Genesis 25:1,bible,False
Jokshan,Jokshan,Jokshan,Genesis 25:1,bible,False
Medan,Medan,Medan,Genesis 25:1,bible,False
Midian,Midian,Midian,Genesis 25:1,bible,False
Ishbak,Ishbak,Ishbak,Genesis 25:1,bible,False
Shuah,Shuah,Shuah,Genesis 25:1,bible,False
Timna,Timna,Timna,"Genesis 36:12, 1 Chr 1:36",bible,False
