key,R,G,B,C,M,Y,K
Hezekiah,0.810173008940183,0.425801795092411,0.234457106911577,,,,
Manasseh,0.00429759628605098,0.710009376634844,0.116429346962832,,,,
Amon,0.835624641855247,0.612904047011398,0.545177838648669,,,,
Josiah,0.83663433266338,0.892716682399623,0.0784088351065293,,,,
Jehoahaz,0.418146106298082,0.393382672569715,0.476547924918123,,,,
Jehoiakim,0.212023008498363,0.00713692151475698,0.120781626901589,,,,
Jehoiachin,0.751456615631469,0.512386389193125,0.529953225865029,,,,
Zedekiah,0.157667744089849,0.275144527317025,0.426541539723985,,,,
Jeroboam,0.771287605748512,0.609222373110242,0.113811989431269,,,,
Nadab,0.947510040481575,0.823014324181713,0.637671112199314,,,,
Baasha,0.779224455007352,0.70044373429846,0.207841079798527,,,,
Elah,0.207006871351041,0.204864815459587,0.745029367622919,,,,
Zimri,0.850017579388805,0.22500226914417,0.557573315803893,,,,
OmriTibni,0.889659619308077,0.889667124836706,0.60706599324476,,,,
Omri,0.650903727975674,0.366998244426213,0.0458469173172489,,,,
Ahab,0.105974409147166,0.557206646888517,0.588287804392166,,,,
Ahaziah,0.49953914724756,0.721461833105423,0.299704128527083,,,,
Jehoram,0.998196324449964,0.750841977656819,0.807705268613063,,,,
Jehu,0.135658292914741,0.57312298042234,0.46888143371325,,,,
Jeoahaz,0.985325330286287,0.0542579329339787,0.503019783529453,,,,
JeoahazJehoash,0.970238797948696,0.424018677440472,0.267621509148739,,,,
Jehoash2,0.811339224572294,0.359708973555826,0.26779515191447,,,,
Jeroboam2,0.581782562541775,0.181126707349904,0.0795535255456343,,,,
Zechariah,0.769275997648947,0.586234193644486,0.602819471270777,,,,
Schallum,0.92609809350688,0.0118409557035193,0.645510070375167,,,,
Menahem,0.773633358650841,0.0226711007999256,0.0221696473890916,,,,
Pekahiah,0.51057901524473,0.983387574902736,0.623891649884172,,,,
Pekah,0.406344540300779,0.556940265581943,0.681354753789492,,,,
Hoshea,0.575842328718863,0.896222104202025,0.512271079351194,,,,
Saul,0.224588770768605,0.997789508546703,0.784136276808567,,,,
David,0.24209738697391,0.794145618914627,0.695557786733843,,,,
Solomo,0.0791969205019996,0.0452890364686027,0.594941018265672,,,,
moses2,0.935747259645723,0.288243000512011,0.431814303505234,,,,
wilderness,0.344868080341257,0.67837031383533,0.312194296973757,,,,
judges,0.360793341533281,0.00927669985685498,0.800284644472413,,,,
timespan_judges,0.668595716473647,0.487989773624577,0.276286063832231,,,,
oppression,0.503843202139251,0.0711629193974659,0.28261197253596,,,,
temple1,0.0458956939401105,0.81018822605256,0.813546004355885,,,,
jesus_life,0.63317560905125,0.337521081441082,0.318135781562887,,,,
jesus_service,0.834842348122038,0.683414325700142,0.270248739630915,,,,
69weeks,0.915138731128536,0.0118248445214704,0.536314103170298,,,,
exile,0.78623727534432,0.436001222464256,0.804340020637028,,,,
7times,0.418464051210322,0.615131501690485,0.783694926765747,,,,
ww1,0.413390315021388,0.851192619767971,0.571151252486743,,,,
ww2,0.910680262255482,0.521110414178111,0.721399877802469,,,,
30_year_war,0.444423968088813,0.139135719160549,0.361435444210656,,,,
joshua,0.442488992237486,0.301153225940652,0.681529268971644,,,,
caleb,0.533326934440993,0.0490880854194984,0.905356043833308,,,,
prophets,0.379646099288948,0.411206221324392,0.126422644709237,,,,
missionary1,0.0604216005885974,0.0858813225058839,0.276819266728126,,,,
missionary2,0.0450764581328258,0.892640140955336,0.249667269992642,,,,
missionary3,0.465421871631406,0.779145579203032,0.569478846970014,,,,
caesars,0.65150521916803,0.807522375718691,0.425419189385138,0.7,0,0.1,
books,0.601498893345706,0.308163637411781,0.402792138163932,0.42,0,0.76,
circumcision,0.639544771867804,0.322107065585442,0.799726111465134,,,,
rome1,0.0701442648423836,0.748613578849472,0.705341871012934,,,,
rome2,0.728826477075927,0.0108973748283461,0.274488113005646,,,,
caesarea,0.681333493092097,0.299118739902042,0.404884130810387,,,,
covid19,0.259546616696753,0.850622628233396,0.353245140635408,,,,
cold_war,0.274734437116422,0.00900144700426608,0.393202284234576,,,,
john,0.851912887883373,0.428100468707271,0.0680458053248003,,,,
buddha,0.600716108572669,0.490427635260858,0.77000443066936,,,,
mohammed,0.827489543356933,0.567101716413163,0.865917956572957,,,,
confucius,0.386640244512819,0.561987444176339,0.845033232239075,,,,
persia,0.872446527821012,0.987745382939465,0.486731694196351,,,,
king_north,0.961757578304969,0.792355818790384,0.599151177681051,,,,
king_north2,0.207050255383365,0.961852163891308,0.740449755801819,,,,
king_north4,0.963858404080384,0.382490139571019,0.975247182999738,,,,
king_north5,0.613257315126248,0.0244586273329332,0.112863219692372,,,,
king_south,0.0209355020197108,0.377234608284198,0.523989661945961,,,,
king_south2,0.78773977200035,0.817006851430051,0.313796499860473,,,,
time_of_end,0.991171352448873,0.781098703038879,0.312923957942985,,,,
suryavaman2,0.240733261802234,0.549605435342528,0.266899917158298,,,,
notre-dame,0.453145101317205,0.679900879389606,0.0582601214991882,,,,
Babylon2,0.525235934997909,0.955879785469733,0.756710622576065,,,,
Medopersia,0.122117775841616,0.653524394496344,0.333746824064292,,,,
Greece,0.379821745562367,0.969362836913206,0.595264493837021,,,,
Rome,0.315230405773036,0.47034993104171,0.342434466001578,,,,
Angloamerica2,0.929387807962485,0.814842248917557,0.267985863029026,,,,
infliction2,0.61788470542524,0.0389792240457609,0.766957595129497,,,,
people,0.115561684011482,0.88262838718947,0.808342963340692,,,,
objects,0.910964609473012,0.456953075830825,0.967160864151083,,,,
terah_blue,0.78692983451765,0.223098443238996,0.233487332123332,0.3,0.23,0,1
terah_red,0.689407171099447,0.850394648849033,0.242960304603912,0,0.24,0.3,1
daniel2,0.88370912510436,0.893152652890422,0.908254249836318,,,,
qing-dynasty,0.393822896876372,0.889431759598665,0.847198289469816,65,150,50,
ming-dynasty,0.621003735926934,0.423604203737341,0.370958314859308,80,166,65,
yuan-dynasty,0.205548430676572,0.530648846528493,0.45399699814152,,,,
southern-song,0.392763600801118,0.0517637963639572,0.738621525815688,,,,
northern-song,0.477877942961641,0.325981380068697,0.310097131528892,,,,
western-xia,0.657015616889112,0.245644616312347,0.451030603260733,,,,
shang-dynasty,0.114482523058541,0.400606756447814,0.368612542864867,,9,,
western-zhou,0.600501498091035,0.899345054640435,0.103891879902221,,,,
eastern-zhou,0.937715967302211,0.00662723078858107,0.15979430929292,,,,
qin-dynasty,0.109359196270816,0.726072732475586,0.782244249829091,,,,
western-han,0.920269746216945,0.699121472542174,0.295986720942892,,,,
eastern-han,0.151969381957315,0.661154731293209,0.807441073353402,,,,
three-kingdoms,0.936455569346435,0.941263371263631,0.968297427869402,,,,
sixteen-kingdoms,0.188405403052457,0.690558933536522,0.0930886416463181,,,,
northern-dynasties,0.0184300552355126,0.257940661278553,0.287082016351633,,,,
southern-dynasties,0.241969555732794,0.0724310263758525,0.845047452137806,,,,
tang-dynasty1,0.396278475993313,0.709818607545458,0.850673573906533,,,,
tang-dynasty2,0.884263395448215,0.605962550616823,0.572355279116891,,,,
wu-zhou,0.274249886046164,0.621918291435577,0.643940928042866,,,,
gonghe,0.618825431331061,0.224259558948688,0.275259069283493,,,,
siloam-tunnel,0.198603105149232,0.553172474610619,0.0219697548309341,,,,
