key,text,english,notes,tag,checked
king_north4,"Soviet Union 1945-1991 (Taniela 11:32-39, 40b, 41)","Soviet Union 1945-1991 (Daniel 11:32-39, 40b, 41)", ,text,False
king_north5,Rusia me tekivu mai na 2017 (w20 Me),Russia since 2017 (w20 May), ,text,False
time_of_end,"Na itikotiko i Karisito, iOtioti ni ivakarau ni veika (Maciu 24:3), na iotioti ni veisiga (2Ti 3:1)","Presence of Christ, Conclusion of the system of things (Matthew 24:3), the last days (2 Timothy 3:1)", ,text,False
time_of_end2,iotioti ni veisiga,Last days, ,text,False
suryavaman2,King Suryavarman II tara na Angkor Wat 1113-1150,King Suryavarman II builds Angkor Wat 1113-1150, ,text,False
notre-dame,Tara o Notre-Dame de Paris 1163-1260,Notre-Dame de Paris built 1163-1260, ,text,False
babel,tara na vale cecere mai Pepeli,Tower of Babel built, ,text,False
infliction1,400 na yabaki ni kena vakayacori,400 year infliction,Acts 7:6,text,False
Lots_wife,Wati Loti,Lot’s wife, ,text,False
Lots_daughters,Luvei Loti Yalewa,Daughters of Lot, ,text,False
Moab,Moapi (luvena yalewa qase cake),Moab (older daughter), ,text,False
rosetta,Vatu ni Rosetta 196 B.K.E.,Rosetta stone 196 B.C.E., ,text,False
Herodotus,Herodotus c. 484 – c. 425 B.K. e vola na The Histories,"Herodotus c. 484 – c. 425 BC, writes The Histories",Father of History,text,False
Aristotle,Aristotle 384 – 322 B.K.,Aristotle 384 – 322 BC,"The First Teacher, The Philosopher",text,False
Ptolemy,Ptolemy c 100 – c. 170 S.K.,Ptolemy c 100 – c. 170 C.E., ,text,False
Pythagoras,Pythagoras c. 570 – c. 495 B.K.,Pythagoras c. 570 – c. 495 BC, ,text,False
Plato,Plato c. 427 – c. 348 B.K.,Plato c. 427 – c. 348 BC, ,text,False
Socrates,Socrates c. 470 – c. 399 B.K.,Socrates c. 470 – c. 399 BC, ,text,False
Josephus,Josephus c. 37 – c. 100 S.K.,Josephus c. 37 – c. 100 C.E., ,text,False
Cicero,Cicero 106–43 B.K.,Cicero 106–43 BC,"influence on Latin language, 3 Jan 106 BC – 7 Dec 43 BC",text,False
lachish_letters,iVola vaka-Lachish c. 590 B.K.E.,Lachish letters c. 590 B.C.E., ,text,False
lachish_reliefs,Lachish veivuke c. 681 B.K.E.,Lachish reliefs c. 681 B.C.E., ,text,False
mesha_stele,Mesha Stele (vatu Moabite) c. 840 B.S.K.,Mesha Stele (Moabite stone) c. 840 B.C.E., ,text,False
gilgamesh,Gilgamesh kei Aga 𒇽𒆥𒄄𒀝𒂵,Gilgamesh and Aga 𒇽𒆥𒄄𒀀𒀝𒂵, ,text,False
epic_gilgamesh,Na iVakatakilakila ni Gilgamesh (Sîn-lēqi-unninni),Epic of Gilgamesh (Sîn-lēqi-unninni), ,text,False
gregorian,Kaleda ni Gregorian 1582,Gregorian calendar 1582, ,text,False
shang-dynasty,c. 1600-1046 B.K.,c. 1600-1046 BC, ,text,False
western-zhou,c. 1046-771 B.K.,c. 1046-771 BC, ,text,False
qin-dynasty,Tin 221-207 B.K.,Qin 221-207 BC, ,text,False
western-han,207 B.K. – 9 S.K.,207 BC – 9 CE, ,text,False
three-kingdoms,Tolu na matanitu 220-280 S.K.,Three kingdoms 220-280 CE, ,text,False
sixteen-kingdoms,Tinikaono na matanitu 304-439 CE,Sixteen kingdoms 304-439 CE, ,text,False
tang-dynasty2,"618-690, 705-907","618-690, 705-907", ,text,False
wu-zhou,690-705 Wu Zhou,690-705 Wu Zhou, ,text,False
tang-dynasty1_c,Tang,Tang, ,text,False
gonghe,Gonghe Regency 841-828 B.K.,Gonghe Regency 841-828 BC, ,text,False
Ashoka,Ashoka (c. 304-232 B.K.) e tokona na lotu Buda,Ashoka (c. 304-232 BC) promotes Buddhism, ,text,False
siloam-tunnel,Dodoka yani o Esekaia na qara e Sailoama,Hezekiah extends Siloam tunnel,c. 742-732 BC,text,False
Angloamerica2,"Na vosa vaka-Amerika e vakatakarakarataki ena yava ni kaukamea ka veicurumaki kei na tete ena parofisai ena Taniela 2:33, 41-43","Anglo-American is symbolized by the feet of iron mixed with clay in the prophecy in Daniel 2:33, 41-43", ,text,False
Manetho,Vola o Manetho na A hadaca,Manetho writes Aegyptiaca, ,text,False
destruction_babylon, ,"Destruction of Babylon the Great (Revelation 17:3, 15-18; 18:9, 10)",beginning of great tribulation (GT),text,False
gog_of_magog, ,"Attack of Gog of Magog (Ezekiel 38:1, 2, 9-12, 18-23)",end of GT,text,False
sheep_goat, ,"Earth’s inhabitants are judged, separating sheep and goats (Matthew 25:31-33)",end of GT,text,False
annointed, ,Gathering of Kingdom rulers (Matthew 24:31; 1 Corinthians 15:50-53; 1 Thessalonians 4:15-17),end of GT,text,False
armageddon, ,"Battle of Armageddon (Revelation 16:14, 16; Isaiah 13:9; 2 Peter 3:12)",end of system of things,text,False
millenium, ,"God’s Kingdom begins its 1000-year reign (Revelation 5:9, 10; 20:4, 6)", ,text,False
great_crowd, ,"A great crowd survives Armageddon (Revelation 7:9, 14; Psalm 37:9-11)", ,text,False
world_population, ,World population in billions in the last 2000 years, ,text,False
khmer_empire_c, ,Khmer Empire - Angkor period, ,text,False
holy_roman_empire_c, ,Holy Roman Empire – known as Holy Roman Empire of the German Nation after 1512, ,text,False
mongol_empire, ,Mongol Empire 1206 – 1294, ,text,False
maya_classic_c, ,Maya civilization – Classic period, ,text,False
maya_postclassic_c, ,Maya civilization – Postclassic period, ,text,False
Teotihuacan, ,"Largest city in the Americas, pyramids build c. 200 C.E.", ,text,False
Dionysius_Exiguus, ,"Dionysius Exiguus, inventor of Anno Domini", ,text,False
Umayyad_c, ,Umayyad, ,text,False
ur3, ,Ur III Dynasty 𒋀𒀕𒆠, ,text,False
hammurabi, ,Hammurabi 𒄩𒄠𒈬𒊏𒁉, ,text,False
Al-Khwarizmi, ,al-Khwarizmi writes Al-Jabr (Algebra), ,text,False
al-azhar, ,Al-Azhar University is established in Cairo, ,text,False
Ibn-Sina, ,Ibn Sina or Avicenna, ,text,False
life-expectancy, ,Life expectancy 75 years, ,text,False
430years_c, ,"430 years: Exodus 12:41, Galatians 3:17",2024-12-24,text,False
maya_calendar, ,"Calculated beginning of Maya calendar August 11, 3114 B.C.E.",2024-12-25,text,False
xia-dynasty2, ,c. 2070 – c. 1600 BC; Era first alluded during the Western Zhou period,2025-01-02,text,False
xia-dynasty2_c, ,Xia dynasty in China, ,text,False
tres_zapotes, ,"September 3rd, 32 B.C.E.",2024-12-31,text,False
joseph_jacob_reunited, ,Joseph and Jacob reunited in Egypt – 1728 B.C.E. (Gen 45:11; 47:9),2025-01-01,text,False
king_south_light_c, ,King of the South from Daniel 11,2025-02-05,text,False
king_north_light_c, ,King of the North from Daniel 11,2025-02-05,text,False
daniel2_iron_c, ,Iron legs from Daniel 2,2025-02-05,text,False
argenteus, ,Codex Argenteus c. 505,written copy of Wulfila Bible,text,False
nguyen_dynasty_c, ,Nguyễn,2025-09-20,text,False
edo_c, ,Edo period in Japan,Edo period (Tokugawa shogunate),text,False
meiji_c, ,Meiji,2025-09-20,text,False
american_civil_war, ,American Civil War 1861-1865,"April 12, 1861 to May 26, 1865",text,False
aleppo_codex, ,Aleppo Codex c. 920,2025-10-03,text,False
vandals, ,Kingdom of the Vandals and Alans 435 – 534,Vandals 435-534 C.E.,text,False
francia, ,"c. 481/509 – 843, Merovingian till 751, then Carolingian",Kingdom of the Franks (Regnum Francorum) c. 481/509-843 treaty of Verdun,text,False
francia_c, ,Kingdom of the Franks, ,text,False
100_years_war, ,Hundred Years’ War 1337 – 1453,1337–1453,text,False
black_death, ,Black death 1346-1353,1346-1353,text,False
sui_dynasty, ,581-618 Sui dynasty,2025-11-09,text,False
sui_dynasty_c, ,Sui,2025-11-09,text,False
tribulation, ,"The Great Tribulation (Mark 13:19; Daniel 12:1; Matt 24:21, 22)", ,text,False
Adam,Atama,Adam, ,bible,False
Seth,Seci,Seth, ,bible,False
Enosh,Inosh,Enosh, ,bible,False
Kenan,Kenan,Kenan (Cainan), ,bible,False
Mahalalel,Mahalalel,Mahalalel (Mahalaleel), ,bible,False
Jared,Jereti,Jared, ,bible,False
Enoch,Inoki,Enoch, ,bible,False
Methuselah,Mecusela,Methuselah, ,bible,False
Lamech,Lokiloki,Lamech, ,bible,False
Noah,Noa,Noah, ,bible,False
Shem,Semi,Shem, ,bible,False
Arpachshad,Apatisati,Arpachshad, ,bible,False
Shelah,Shelah,Shelah, ,bible,False
Eber,Eber,Eber, ,bible,False
Peleg,Peleg,Peleg, ,bible,False
Reu,Reu,Reu, ,bible,False
Serug,Serug,Serug, ,bible,False
Nahor,Neori,Nahor, ,bible,False
Terah,Terah,Terah, ,bible,False
Abraham,Eparaama,Abraham, ,bible,False
Isaac,Aisake,Isaac, ,bible,False
Jacob,Jekope,Jacob, ,bible,False
Joseph,Josefa,Joseph, ,bible,False
Moses,Mosese,Moses, ,bible,False
Othniel,Ocieli,Othniel, ,bible,False
Ehud,Ehud,Ehud, ,bible,False
Shamgar,Shamgar,Shamgar, ,bible,False
Barak,Barak,"Barak, Deborah, Jael", ,bible,False
Gideon,Kitioni,Gideon, ,bible,False
Tola,Tola,Tola, ,bible,False
Jair,Jeiri,Jair, ,bible,False
Jephthah,Jefica,Jephthah, ,bible,False
Ibzan,Ibzan,Ibzan, ,bible,False
Elon,Balavu,Elon, ,bible,False
Abdon,Abdon,Abdon, ,bible,False
Samson,Samisoni,Samson, ,bible,False
Samuel,Samuela,Samuel, ,bible,False
Saul,Saula,Saul, ,bible,False
David,Tevita,David, ,bible,False
Solomon,Solomo,Solomon, ,bible,False
Malachi,Malakai,Malachi, ,bible,False
Ruth,Ruci,Ruth, ,bible,False
Ezra,Esera,Ezra, ,bible,False
Nehemiah,Niemaia,Nehemiah, ,bible,False
Esther,Esiteri,Esther, ,bible,False
Job,Jope,Job, ,bible,False
moses3,Mosese,Moses, ,bible,False
joshua2,Josua,Joshua, ,bible,False
caleb2,Kelepi,Caleb, ,bible,False
Augustus,Augustus,Augustus, ,bible,False
Tiberius,Tiberius,Tiberius, ,bible,False
Claudius,Claudius,Claudius, ,bible,False
persia2,Perisia,Persia, ,bible,False
jehoiada,Jehoiada,Jehoiada, ,bible,False
Haggai,Akai,Haggai, ,bible,False
Zerubbabel,Serupapeli (Luke 3:27),Zerubbabel (Luke 3:27), ,bible,False
Jacob2,Jekope/,Jacob/,Jacob/Israel 1858-1711 – 147 years,bible,False
Israel,Isireli,Israel, ,bible,False
Sarah,Sera,Sarah,2008-1881 BCE – 127 years,bible,False
Hagar,Akara,Hagar,Genesis 21:14,bible,False
Haran,Karana,Haran,Genesis 11:26,bible,False
Reumah,Reumah,Reumah,Concubine – 4 sons,bible,False
Milcah,Milcah,Milcah,8 sons (Bethuel and 7 more),bible,False
Lot,Loti,Lot, ,bible,False
Ammon,Ben-ammi (Amoni),Ben-ammi (Ammon), ,bible,False
Bethuel,Pecueli,Bethuel, ,bible,False
Rebekah,Repeka,Rebekah, ,bible,False
Laban,Lepani,Laban, ,bible,False
Leah,Lia,Leah,Genesis 35:23,bible,False
Rachel,Rejeli,Rachel,Genesis 35:24,bible,False
Bilhah,Pila,Bilhah,Genesis 35:25,bible,False
Zilpah,Silipa,Zilpah,Genesis 35:26,bible,False
Reuben,Rupeni,Reuben, ,bible,False
Simeon,Simioni,Simeon, ,bible,False
Levi,Livai,Levi, ,bible,False
Judah,Juta,Judah, ,bible,False
Issachar,Isakari,Issachar, ,bible,False
Zebulun,Sepuloni,Zebulun, ,bible,False
Dinah,Dina,Dinah,Genesis 34,bible,False
Esau,Iso/,Esau/, ,bible,False
Edom,Itomi,Edom,Genesis 36:1,bible,False
Ishmael,Isimeli,Ishmael, ,bible,False
Manasseh2,(Manasa,(Manasseh, ,bible,False
Ephraim,kei Ifireimi),and Ephraim), ,bible,False
Benjamin,Penijamini,Benjamin, ,bible,False
Dan,Dan,Dan, ,bible,False
Naphtali,Naphtali,Naphtali, ,bible,False
Gad,Gad,Gad, ,bible,False
Asher,Asher,Asher, ,bible,False
Milcah1,"Oz, Buz, Kemueli,","Uz, Buz, Kemuel,", ,bible,False
Milcah2,"Chesed, Hazo,","Chesed, Hazo,", ,bible,False
Milcah3,"Pailato, Jidlaph","Pildash, Jidlaph", ,bible,False
Tebah,Tebah,Tebah, ,bible,False
Gaham,Gaham,Gaham, ,bible,False
Tahash,Tahash,Tahash, ,bible,False
Maacah,Maacah,Maacah, ,bible,False
Mahalath,Mahalath/,Mahalath/,"Genesis 28:8, 9",bible,False
Basemath,Yavu · fika,Basemath,"Genesis36:3, 4",bible,False
Reuel,Reuel,Reuel,"36:13, 17",bible,False
Nahath,Nahaci,Nahath, ,bible,False
Zerah,Sera,Zerah, ,bible,False
Schammah,Schammah,Schammah, ,bible,False
Mizzah,Mizzah,Mizzah, ,bible,False
Adah,Adah,Adah,"36:11, 12, 15, 16",bible,False
Eliphaz,Elifasi,Eliphaz, ,bible,False
Teman,Teman,Teman, ,bible,False
Omar,Omar,Omar, ,bible,False
Zepho,Sefio,Zepho, ,bible,False
Kenaz,Kenaz,Kenaz, ,bible,False
Korah,Kora,Korah, ,bible,False
Korah_Gatam, ,"Korah, Gatam","Genesis 36:11, 16",bible,False
Amalek,Amelekaiti,Amalek, ,bible,False
Oholibamah,Oholibamah,Oholibamah,"36:14, 18",bible,False
Jeush,Jeush,Jeush, ,bible,False
Jalam,Jalam,Jalam, ,bible,False
Nebaioth,Nebaioci,Nebaioth,Genesis 25:13,bible,False
Kedar,Kedar,Kedar, ,bible,False
Mishma,Mishma,Mishma, ,bible,False
Adbeel_Mibsam, ,"Adbeel, Mibsam",Genesis 25:13,bible,False
Dumah_Massa, ,"Dumah, Massa",Genesis 25:14,bible,False
Hadad,Hadad,Hadad, ,bible,False
Tema,Tema,Tema, ,bible,False
Jetur,Jetur,Jetur, ,bible,False
Naphish,Naphish,Naphish, ,bible,False
Kedemah,Kedemah,Kedemah, ,bible,False
Keturah, ,Keturah,Genesis 25:1,bible,False
Zimran, ,Zimran,Genesis 25:1,bible,False
Jokshan, ,Jokshan,Genesis 25:1,bible,False
Medan, ,Medan,Genesis 25:1,bible,False
Midian, ,Midian,Genesis 25:1,bible,False
Ishbak, ,Ishbak,Genesis 25:1,bible,False
Shuah, ,Shuah,Genesis 25:1,bible,False
Timna, ,Timna,"Genesis 36:12, 1 Chr 1:36",bible,False
life-expectancy2, ,(Psalm 90:10),2024-11-29,bible,False
Ham, ,Ham,Gen 10:1,bible,False
Canaan, ,Canaan,Gen 10:6,bible,False
Sidon, ,Sidon,Gen 10:15,bible,False
Heth, ,Heth,Gen 10:15,bible,False
Jebusite, ,Jebusite,Gen 10:16,bible,False
Amorite, ,Amorite,Gen 10:16,bible,False
Girgashite, ,Girgashite,Gen 10:16,bible,False
Hivite, ,Hivite,Gen 10:17,bible,False
Arkite, ,Arkite,Gen 10:17,bible,False
Sinite, ,Sinite,Gen 10:17,bible,False
Arvadite, ,Arvadite,Gen 10:18,bible,False
Zemarite, ,Zemarite,Gen 10:18,bible,False
Hamathite, ,Hamathite,Gen 10:18,bible,False
Cush, ,Cush,Gen 10:6,bible,False
Nimrod, ,Nimrod,Gen 10:8,bible,False
Mizraim, ,Mizraim,Gen 10:14,bible,False
Casluh, ,Casluh,1 Chronicles 1:12 (Philistines),bible,False
Japheth, ,Japheth,Gen 10:1,bible,False
Asshur, ,Asshur,Gen 10:22,bible,False
Lud, ,Lud,Gen 10:22,bible,False
Aram, ,Aram,Gen 10:22,bible,False
Elam, ,Elam,Gen 10:22,bible,False
Joktan, ,Joktan,Gen 10:26,bible,False
Almodad, ,Almodad,Gen 10:26,bible,False
Sheleph, ,Sheleph,Gen 10:26,bible,False
Hazarmareth, ,Hazarmareth,Gen 10:26,bible,False
Jerah, ,Jerah,Gen 10:26,bible,False
Hadoram, ,Hadoram,Gen 10:27,bible,False
Uzal, ,Uzal,Gen 10:27,bible,False
