key,text
jesus_service,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E."
jesus_life,Jesus born 2 B.C.E.
exile,607 to 537 B.C.E. – 70 years (Jeremiah 25:11)
exile2,Exile
7times,Revelation 12:9
7times2,7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23)
ww1,World War I – 1914–1918 C.E.
ww2,World War II – 1939–1945 C.E.
30_year_war,Thirty Years' War in Europe 1618-1648
joshua,110 years
joshua2,Joshua
caleb,more than 85 years
caleb2,Caleb
missionary1,"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark"
circumcision,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E."
missionary2,Second Missionary Journey c. 49-52 C.E with Silas (Silvanus)
missionary3,Third Missionary Journey c. 52-56 C.E.
caesarea,Paul in custody in Caesarea c. 56-58 C.E.
rome1,Paul’s first imprisonment in Rome c. 59-61 C.E.
rome2,"Paul’s second imprisonment in Rome c. 65 C.E., 2 Timothy written, Paul executed"
Julius,Julius
Augustus,Augustus
Tiberius,Tiberius
Caligula,Caligula
Claudius,Claudius
Nero,Nero
Galba-Otho-Vitellius,"Galba, Otho and Vitellius (Year of the Four Emperors)"
Vespasian,Vespasian
event_exodus,"Exodus from Egypt on Nisan 14th, 1513 B.C.E."
event_division_kingdom,Division of Israel 997 BCE
event_destruction_samaria,Destruction of Samaria 740 B.C.E. by Assyria
event_destruction_samaria2,740 B.C.E. by Assyria
event_destruction_jerusalem1,"Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)"
event_temple_rebuilt,Temple in Jerusalem rebuilt 515 B.C.E.
event_jerusalem_rebuilt,Jerusalem wall rebuilt 455 B.C.E.
event_destruction_jerusalem2,Destruction of Jerusalem 70 C.E. by Rome under Titus
event_1914,"End of the time of the nations (Luke 21:24), God’s Kingdom starts to rule in heaven 1914 C.E."
became_king,becomes king at age
vulgate,Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E.
gutenberg,Gutenberg Bible printed 1455
erasmus,Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516
luther,Luther Bible translation in September 1522
tyndale,English Bible translation by Tyndale 1536
king_james,King James Bible 1611
69weeks3,"Jesus starts his service 29 CE (Luke 3:1, 21)"
ransom,Middle of week “sacrifice to cease” Daniel 9:27
cornelius,Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E.
columbus,End of the pre-columbian period in the Americas 1492
declaration_independence,Declaration of independence of 13 colonies in America 1776
tischendorf,Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844
dead_sea_scrolls,Dead Sea Scrolls written
septuagint,Septuagint LXX translated
watchtower,The first issue of “Zion’s Watch Tower and Herald of Christ’s Presence” is published in 1879
photodrama,"The “Photo-Drama of Creation” is first shown in New York on January 11, 1914"
jehovahs_witnesses,"The Bible Students adopt a new name – Jehovah’s Witnesses (Isaiah 43:10, 12) in Columbus, Ohio, 1931"
gilead_school,"Watchtower Bible School of Gilead begins on Monday, February 1, 1943"
new_world_translation1,"“New World Translation of the Holy Scriptures” released in Manchester, England on June 18, 1960, reintroduces the name Jehovah in many parts of the Bible"
truth_book,The book “The Truth That Leads to Eternal Life” is released 1968
metropolitan,Start of metropolitan witnessing in 2011
jw_org,Start of JW.ORG with instructions in Kingdom Ministry December 2012
new_world_translation2,"Revised “New World Translation of the Holy Scriptures” released at annual meeting 2013, optimized to be used digitally and online"
jw_broadcasting,Start of JW Broadcasting® in October 2014
meeting_workbook,New format of midweek meeting with “Meeting Workbook” starting January 2016
covid19,Covid-19
cold_war,Geopolitical situation labeled “Cold War” 1945-1991
timeline_created,"This timeline is created in 2023, the hottest year in human history and the last 125,000 years"
codex_sinaiticus,Codex Sinaiticus written
codex_vaticanus,Codex Vaticanus written
leningrad_codex,Leningrad Codex written in Cairo AD 1008
john,John writes “revelation” while exiled on Patmos 96-98 C.E.
nicaea1,First Council of Nicaea
buddha,The Buddha – Siddhartha Gautama c.563-c.483 B.C.E
buddha2,Buddha alternatively c. 480-400 B.C.E.
mohammed,Mohammed c. 570-632 C.E.
confucius,Confucius c.551-c.479 B.C.E.
hijrah,Hijrah - Journey Mecca to Medina 16 July 622
moses_escape,"1553 B.C.E. Moses has to escape Egypt – Exodus 2:15, Acts 7:23"
10plagues,1513 B.C.E Egypt receives 10 plagues
joseph_sold,Joseph sold as slave at the age of 17 – Gen 37:2
infliction,400 year infliction (Acts 7:6) – Ishmael 1913 B.C.E
Alexander,Alexander the Great (Daniel 11:3)
persia,"Cyrus the Great, Cambyses II, Darius I 490 BCE, Xerxes I 480 BCE (husband of Esther, Daniel 11:2)"
persia2,Persia
king_north,"Seleucus I Nicator (v5) Syria to Antiochus III (v10) and Seleucus IV (v18, 19) down to Octavian (v20) and Tiberius (v21-24)"
king_north1,King of the North
king_south,"Ptolemy I, II, III, IV (v11, 12), V (v15, 16) to the battle Actium 31 B.C.E."
king_south1,King of the South
king_south2,"British Empire 1870, Anglo-American World Power since 1914"
king_south3,King of the South
king_north2,"Germany with Emperor William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)"
king_north3,North
king_north4,"Soviet Union 1945-1991 (Daniel 11:32-39, 40b, 41)"
king_north5,Russia since 2017 (w20 May)
time_of_end,"Presence of Christ, Conclusion of the system of things (Matthew 24:3), the last days (2 Timothy 3:1)"
time_of_end2,Last days
suryavaman2,King Suryavarman II builds Angkor Wat 1113-1150
notre-dame,Notre-Dame de Paris built 1163-1260
jehoiada,Jehoiada
babel,Tower of Babel built
Haggai,Haggai
Zerubbabel,Zerubbabel (Luke 3:27)
Babylon,"Daniel 2:32, 36-38; 7:4"
Medopersia,"Daniel 2:32, 39; 7:5"
Greece,"Daniel 2:32, 39; 7:6"
Rome,"Daniel 2:33, 40; 7:7"
Angloamerica,"Daniel 2:33, 41-43"
Babylon_c,Babylon
Medopersia_c,Medo-Persia
Greece_c,Greece
Rome_c,Rome
Angloamerica_c,Anglo-America
infliction1,400 year infliction
infliction2,Acts 7:6
Jacob2,Jacob/
Israel,Israel
Sarah,Sarah
Hagar,Hagar
Haran,Haran
Reumah,Reumah
Milcah,Milcah
Lot,Lot
Lots_wife,Lot’s wife
Lots_daughters,Daughters of Lot
Moab,Moab (older daughter)
Ammon,Ben-ammi (Ammon)
Bethuel,Bethuel
Rebekah,Rebekah
Laban,Laban
Leah,Leah
Rachel,Rachel
Bilhah,Bilhah
Zilpah,Zilpah
Reuben,Reuben
Simeon,Simeon
Levi,Levi
Judah,Judah
Issachar,Issachar
Zebulun,Zebulun
Dinah,Dinah
Esau,Esau/
Edom,Edom
Ishmael,Ishmael
Manasseh2,(Manasseh
Ephraim,and Ephraim)
Benjamin,Benjamin
Dan,Dan
Naphtali,Naphtali
Gad,Gad
Asher,Asher
Milcah1,"Uz, Buz, Kemuel,"
Milcah2,"Chesed, Hazo,"
Milcah3,"Pildash, Jidlaph"
Tebah,Tebah
Gaham,Gaham
Tahash,Tahash
Maacah,Maacah
Mahalath,Mahalath/
Basemath,Basemath
Reuel,Reuel
Nahath,Nahath
Zerah,Zerah
Schammah,Schammah
Mizzah,Mizzah
Adah,Adah
Eliphaz,Eliphaz
Teman,Teman
Omar,Omar
Zepho,Zepho
Kenaz,Kenaz
Korah,Korah
Gatam,Gatam
Amalek,Amalek
Oholibamah,Oholibamah
Jeush,Jeush
Jalam,Jalam
Nebaioth,Nebaioth
Kedar,Kedar
Adbeel,Adbeel
Mibsam,Mibsam
Mishma,Mishma
Dumah,Dumah
Massa,Massa
Hadad,Hadad
Tema,Tema
Jetur,Jetur
Naphish,Naphish
Kedemah,Kedemah
Babylon2,
terahfam,Members of Terah’s family
rosetta,Rosetta stone 196 B.C.E.
Herodotus,"Herodotus c. 484 – c. 425 BC, writes The Histories"
Aristotle,Aristotle 384 – 322 BC
Ptolemy,Ptolemy c 100 – c. 170 C.E.
Pythagoras,Pythagoras c. 570 – c. 495 BC
Plato,Plato c. 427 – c. 348 BC
Socrates,Socrates c. 470 – c. 399 BC
Josephus,Josephus c. 37 – c. 100 C.E.
Cicero,Cicero 106–43 BC
lachish_letters,Lachish letters c. 590 B.C.E.
lachish_reliefs,Lachish reliefs c. 681 B.C.E.
mesha_stele,Mesha Stele (Moabite stone) c. 840 B.C.E.
gilgamesh,Gilgamesh and Aga 𒇽𒆥𒄄𒀀𒀝𒂵
epic_gilgamesh,Epic of Gilgamesh (Sîn-lēqi-unninni)
oxyrhynchus,Oxyrhynchus Papyri
p52,Papyrus P52
daniel2_shift,0
daniel2_1,King Nebuchadnezzar
daniel2_2,destroys Jerusalem
daniel2_3,Conquers Babylon
daniel2_4,Cyrus decrees return
daniel2_5,of Jews to Jerusalem
daniel2_6,Alexander the Great
daniel2_7,conquers Persia
daniel2_8,Rules over Israel
daniel2_9,Destroys Jerusalem
daniel2_10,"During World War I,"
daniel2_11,Anglo-American World Power
daniel2_12,comes into being
qing-dynasty,1636-1912
qing-dynasty_c,Qing dynasty
ming-dynasty,1368-1644
ming-dynasty_c,Ming dynasty in imperial China
yuan-dynasty,1271-1368
southern-song,1127-1279
northern-song,960-1127
western-xia,1038-1227
yuan-dynasty_c,Yuan
southern-song_c,Southern Song
northern-song_c,Northern Song
western-xia_c,Western Xia
Copernicus,Nicolaus Copernicus
Galileo,Galileo Galilei
Newton,Isaac Newton
gregorian,Gregorian calendar 1582
shang-dynasty,c. 1600-1046 BC
western-zhou,c. 1046-771 BC
eastern-zhou,770-256 BC
qin-dynasty,Qin 221-207 BC
western-han,207 BC – 9 CE
eastern-han,25-220 CE
three-kingdoms,Three kingdoms 220-280 CE
sixteen-kingdoms,Sixteen kingdoms 304-439 CE
northern-dynasties,368-581 CE
southern-dynasties,420-589 CE
tang-dynasty1,
tang-dynasty2,"618-690, 705-907"
wu-zhou,690-705 Wu Zhou
shang-dynasty_c,Shang dynasty
western-zhou_c,Western Zhou
eastern-zhou_c,Eastern Zhou
western-han_c,Western Han
eastern-han_c,Eastern Han
three-kingdoms_c,China
sixteen-kingdoms_c,China
northern-dynasties_c,Northern dynasties
southern-dynasties_c,Southern dynasties
tang-dynasty1_c,Tang
tang-dynasty2_c,Tang dynasty
xia-dynasty,Xia dynasty in China c. 2070 – c. 1600 BC
gonghe,Gonghe Regency 841-828 BC
Ashoka,Ashoka (c. 304-232 BC) promotes Buddhism
siloam-tunnel,Hezekiah extends Siloam tunnel
Angloamerica2,"Anglo-American is symbolized by the feet of iron mixed with clay in the prophecy in Daniel 2:33, 41-43"
Manetho,Manetho writes Aegyptiaca
tribulation,"The Great Tribulation (Mark 13:19; Daniel 12:1; Matt 24:21, 22)"
destruction_babylon,"Destruction of Babylon the Great (Revelation 17:3, 15-18; 18:9, 10)"
gog_of_magog,"Attack of Gog of Magog (Ezekiel 38:1, 2, 9-12, 18-23)"
sheep_goat,"Earth’s inhabitants are judged, separating sheep and goats (Matthew 25:31-33)"
annointed,Gathering of Kingdom rulers (Matthew 24:31; 1 Corinthians 15:50-53; 1 Thessalonians 4:15-17)
armageddon,"Battle of Armageddon (Revelation 16:14, 16; Isaiah 13:9; 2 Peter 3:12)"
millenium,"God’s Kingdom begins its 1000-year reign (Revelation 5:9, 10; 20:4, 6)"
great_crowd,"A great crowd survives Armageddon (Revelation 7:9, 14; Psalm 37:9-11)"
world_population,World population in billions in the last 2000 years
607BCE,607 B.C.E.
539BCE,539 B.C.E.
537BCE,537 B.C.E.
331BCE,331 B.C.E.
63BCE,63 B.C.E.
70CE,70 C.E.
1914CE,1914-1918 C.E.
khmer_empire,804 – 1431 C.E.
khmer_empire_c,Khmer Empire - Angkor period
byzantine_empire,330-1453 C.E.
byzantine_empire_c,Byzantine Empire
ottoman_empire,1299 – 1922 C.E.
ottoman_empire_c,Ottoman Empire
holy_roman_empire,800 – 924 C.E.
holy_roman_empire2,962 – 1806 C.E.
holy_roman_empire_c,Holy Roman Empire – known as Holy Roman Empire of the German Nation after 1512
mongol_empire,Mongol Empire 1206 – 1294 C.E.
Genghis,Genghis Khan
maya_classic,250-950
maya_classic_c,Maya civilization – Classic period
maya_postclassic,950-1539
maya_postclassic_c,Maya civilization – Postclassic period
inca_empire,1438 – 1533 C.E.
inca_empire_c,Inca empire
gupta_empire,319 – 550 C.E.
gupta_empire_c,Gupta Empire
Teotihuacan,"Largest city in the Americas, pyramids build c. 200 C.E."
Teotihuacan_c,Teotihuacan
Dionysius_Exiguus,"Dionysius Exiguus, inventor of Anno Domini"
Umayyad,661 – 750 C.E.
Umayyad_c,Umayyad
Abbasid,750 – 1258 C.E.
Abbasid_c,Abbasid Caliphate
Mamluk,1250 – 1517 C.E.
Mamluk_c,Mamluk Sultanate
ur3,Ur III Dynasty 𒋀𒀕𒆠
hammurabi,Hammurabi 𒄩𒄠𒈬𒊏𒁉
Al-Khwarizmi,al-Khwarizmi writes Al-Jabr (Algebra)
al-azhar,Al-Azhar University is established in Cairo
Ibn-Sina,Ibn Sina or Avicenna
Al-Ghazali,Al-Ghazali
Keturah,Keturah
Zimran,Zimran
Jokshan,Jokshan
Medan,Medan
Midian,Midian
Ishbak,Ishbak
Shuah,Shuah
Timna,Timna
Midianites,"1) Midianites: Numbers 31:2, 3"
Moabites,"2) Moabites: Deuteronomy 23:3, 4"
Ammonites,3) Ammonites: Joshua 12:2
Edomites,4) Edomites: Numbers 20:14-17
Temanites,5) Temanites: Job 42:7
Amalekites,6) Amalekites: 1 Samuel 15:2
life-expectancy,Life expectancy 75 years
life-expectancy2,(Psalm 90:10)
430years,1943 – 1513 B.C.E.
430years_c,"430 years: Exodus 12:41, Galatians 3:17"
maya_calendar,"Calculated beginning of Maya calendar August 11, 3114 B.C.E."
xia-dynasty2,c. 2070 – c. 1600 BC; Era first alluded during the Western Zhou period
xia-dynasty2_c,Xia dynasty in China
tres_zapotes,"September 3rd, 32 B.C.E."
joseph_jacob_reunited,Joseph and Jacob reunited in Egypt – 1728 B.C.E. (Gen 45:11; 47:9)
king_south_light,
king_south_light_c,King of the South from Daniel 11
king_north_light,
king_north_light_c,King of the North from Daniel 11
daniel2_iron,
daniel2_iron_c,Iron legs from Daniel 2
wulfila,Wulfila Bible
argenteus,Codex Argenteus c. 505
tran_dynasty,1225 – 1400
tran_dynasty_c,Trần dynasty
le_dynasty,1428 – 1527
le_dynasty_c,Lê dynasty
revival_le_dynasty,1533-1789
revival_le_dynasty_c,Revival Lê dynasty
nguyen_dynasty,1802 – 1883
nguyen_dynasty_c,Nguyễn
edo,1603 – 1868
edo_c,Edo period in Japan
meiji,1868 – 1912
meiji_c,Meiji
Ham,Ham
Canaan,Canaan
Sidon,Sidon
Heth,Heth
Jebusite,Jebusite
Amorite,Amorite
Girgashite,Girgashite
Hivite,Hivite
Arkite,Arkite
Sinite,Sinite
Arvadite,Arvadite
Zemarite,Zemarite
Hamathite,Hamathite
Cush,Cush
Nimrod,Nimrod
Mizraim,Mizraim
Casluh,Casluh
Japheth,Japheth
Asshur,Asshur
Lud,Lud
Aram,Aram
Elam,Elam
Joktan,Joktan
Almodad,Almodad
Sheleph,Sheleph
Hazarmareth,Hazarmareth
Jerah,Jerah
Hadoram,Hadoram
Uzal,Uzal
Diklah_Obal,"Diklah, Obal"
Abimael,Abimael
Sheba_Ophir,"Sheba, Ophir"
Havilah,Havilah
Jobab,Jobab
Korah_Gatam,"Korah, Gatam"
Adbeel_Mibsam,"Adbeel, Mibsam"
Dumah_Massa,"Dumah, Massa"
Ham_fn,1) Egyptians: Psalms 105:23
Canaan_fn,2) Canaanites: Joshua 13:3
Aram_fn,3) Arameans: Hosea 12:12
Elam_fn,4) Elamites: Ezra 4:9
Asshur_fn,5) Assyrians: Ezekiel 27:23
Casluh_fn,6) Philistines: 1 Chronicles 1:12
Cush_fn,7) Ethiopian [Cushite]: 2 Kings 19:9
Edom_fn,8) Edomites: Numbers 20:14-17
Moab_fn,"9) Moabites: Deuteronomy 23:3, 4"
Ammon_fn,10) Ammonites: Joshua 12:2
Midian_fn,"11) Midianites: Numbers 31:2, 3"
Amalek_fn,12) Amalekites: 1 Samuel 15:2
Teman_fn,13) Temanites: Job 42:7
Sidon_fn,14) Sidonians: Zechariah 9:2
Heth_fn,15) Hittites: Genesis 15:20
Jebusite_fn,16) Jebusites: Joshua 15:63
Judith,Judith?
Lud_fn,17) Lydians: 1 Chronicles 1:17
Ishmael_fn,18) Ishmaelites: Genesis 37:27
Amorite_fn,19) Amorites: Judges 6:10
Hivite_fn,"20) Hivites [Gibeon]: Joshua 9:3, 7"
