key,text,english,notes,checked 
Barak,บารัค,"Barak, Deborah, Jael",Judges 4:6,FALSE
Gideon,กิเดี้ยน,Gideon,Judges 7:1,FALSE
Tola,โตลา,Tola,Judges 10:1,FALSE
Jair,จาร์,Jair,Judges 10:3,FALSE
Jephthah,เจฟธาห์,Jephthah,Judges 11:1,FALSE
Ibzan,อิบซาน,Ibzan,Judges 12:8,FALSE
Elon,อีลอน,Elon,Judges 12:11,FALSE
Abdon,อับดอน,Abdon,Judges 12:13,FALSE
Samson,แซมสัน,Samson,Judges 13:24,FALSE
Samuel,ซามูเอล,Samuel,1 Samuel 1:20,FALSE
Saul,ซาอูล,Saul,1 Samuel 9:2,FALSE
David,เดวิด,David,1 Samuel 16:13,FALSE
Solomon,โซโลมอน,Solomon,1 Kings 2:1,FALSE
Rehoboam,เรโหโบอัม,Rehoboam,first king of southern kingdom of Juda,FALSE
Abijah,อาบียาห์ (อาบีญาม),Abijah (Abijam),"3 years, also Abijam",FALSE
Asa,อาสา,Asa,A6-A,FALSE
Jehoshaphat,เยโฮชาฟัท,Jehoshaphat,,FALSE
Jehoram2,เยโฮรัม,Jehoram,,FALSE
Ahaziah,อาหัสยาห์,Ahaziah,,FALSE
Athaliah,ราชินีอาธาลิยาห์,Queen Athaliah,Queen Athaliah,FALSE
Jehoash,เยโฮอาช,Jehoash,,FALSE
Amaziah,อามาซิยาห์,Amaziah,,FALSE
Uzziah,อุสซียาห์ (อาซาริยาห์),Uzziah (Azariah),also Azariah,FALSE
Jotham,โจแธม,Jotham,A6-B,FALSE
Ahaz,อาหัส,Ahaz,,FALSE
Hezekiah,เฮเซคียาห์,Hezekiah,,FALSE
Manasseh,มนัสเสห์,Manasseh,,FALSE
Amon,อมร,Amon,,FALSE
Josiah,โจสิยาห์,Josiah,,FALSE
Jehoahaz,เยโฮอาฮาส,Jehoahaz,Only 3 months,FALSE
Jehoiakim,เยโฮยาคิม,Jehoiakim,,FALSE
Jehoiachin,เยโฮยาชิน,Jehoiachin,Only 3 months 10 days,FALSE
Zedekiah,เศเดคียาห์,Zedekiah,,FALSE
Jeroboam,เยโรโบอัม,Jeroboam,first king of northern 10-tribe kingdom,FALSE
Nadab,นาดับ,Nadab,less than 2,FALSE
Baasha,บาอาชา,Baasha,,FALSE
Elah,เอลา,Elah,,FALSE
Zimri,ซิมรี,Zimri,Only 7 days in ca. 751 BCE,FALSE
OmriTibni,อมรีและทิบนีอยู่ด้วยกัน,Omri and Tibni together,4 years Omri and Tibni,FALSE
Omri,โอมริ (คนเดียว),Omri (alone),from 947 Omri alone,FALSE
Ahab,อาหับ,Ahab,,FALSE
Jehoram,เยโฮรัม,Jehoram,,FALSE
Jehu,เยฮู,Jehu,,FALSE
Jeoahaz,เจโออาฮาส,Jeoahaz,,FALSE
JeoahazJehoash,เยโฮอาหาสและเยโฮอาช,Jeoahaz and Jehoash,For 3 years Jeoahaz and Jeoash reigned together,FALSE
Jehoash2,เยโฮอาช (คนเดียว),Jehoash (alone),Jehoash (alone),FALSE
Jeroboam2,เยโรโบอัมที่ 2,Jeroboam II,,FALSE
Zechariah,เศคาริยาห์,Zechariah,"reign only recorded 6 months, probably only established 792 BCE",FALSE
Schallum,ชัลลัม,Schallum,only one month,FALSE
Menahem,เมนาเฮม,Menahem,,FALSE
Pekahiah,เปคาหิอาห์,Pekahiah,,FALSE
Pekah,เปคาห์,Pekah,,FALSE
Hoshea,โฮเชีย,Hoshea,9 years from c. 748,FALSE
Elijah,เอลียาห์,Elijah,,FALSE
Elisha,เอลีชา,Elisha,,FALSE
Jonah,โยนาห์,Jonah,,FALSE
Amos,อามอส,Amos,,FALSE
Joel,โจเอล,Joel,,FALSE
Hosea,โฮเชยา,Hosea,,FALSE
Isaiah,อิสยาห์,Isaiah,,FALSE
Micah,ไมก้า,Micah,,FALSE
Zephaniah,เซฟาเนีย,Zephaniah,,FALSE
Nahum,นาฮูม,Nahum,,FALSE
Jeremiah,เยเรมีย์,Jeremiah,,FALSE
Habakuk,ฮาบากุก,Habakuk,,FALSE
Daniel,แดเนียล,Daniel,,FALSE
Ezekiel,เอเสเคียล,Ezekiel,,FALSE
Obadiah,โอบาดีห์,Obadiah,,FALSE
Malachi,มาลาคี,Malachi,,FALSE
Ruth,รูธ,Ruth,,FALSE
Ezra,เอซรา,Ezra,,FALSE
Nehemiah,เนหะมีย์,Nehemiah,,FALSE
Esther,เอสเธอร์,Esther,,FALSE
Job,งาน,Job,,FALSE
moses2,1593 ถึง 1473 ก่อน ส.ศ. – 120 ปี,1593 to 1473 B.C.E. – 120 years,,FALSE
moses3,โมเสส,Moses,,FALSE
wilderness,อิสราเอลในถิ่นทุรกันดาร 1513 ถึง 1473 ก่อน ส.ศ. – 40 ปี,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years,,FALSE
timespan_judges,1473 ถึง 1117 ก่อน ส.ศ. – 356 ปี,1473 to 1117 B.C.E. – 356 years,,FALSE
timespan_judges2,เวลาของผู้พิพากษา,Time of the judges,,FALSE
temple1,ไนซาน 1513 ก่อน ส.ศ. ถึง Ziv 1034 ก่อนคริสตศักราช,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,,FALSE
temple2,479 ปีถึงการก่อสร้างพระวิหาร – 1 พงศ์กษัตริย์ 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,FALSE
69weeks,พระ​เยซู​ทรง​ให้​บัพติศมา​ใน​ฤดู​ใบ​ไม้​ร่วง ส.ศ. 29,Jesus baptized autumn 29 C.E.,,FALSE
69weeks2,69 สัปดาห์ถึงพระเมสสิยาห์ - ดาเนียล 9:25,69 weeks to the Messiah – Daniel 9:25,,FALSE
jesus_service,รับใช้พระเยซู 3.5 ปี ถูกประหารในวันที่ 14 ไนซาน ส.ศ. 33,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.",,FALSE
jesus_life,พระเยซูประสูติ 2 ก่อน ส.ศ.,Jesus born 2 B.C.E.,,FALSE
exile,607 ถึง 537 คริสตศักราช – 70 ปี (เยเรมีย์ 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11),,FALSE
exile2,เนรเทศ,exile,,FALSE
7times,วิวรณ์ 12:9,Revelation 12:9,,FALSE
7times2,7 ครั้ง – 2520 ปีถึงอาณาจักรเมสสิยาห์ ส.ศ. 1914 (ดาเนียล 4:23),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23),,FALSE
ww1,สงครามโลกครั้งที่หนึ่ง – ค.ศ. 1914–1918,World War I – 1914–1918 C.E.,,FALSE
ww2,สงครามโลกครั้งที่สอง – ค.ศ. 1939–1945,World War II – 1939–1945 C.E.,,FALSE
30_year_war,สงครามสามสิบปีในยุโรป ค.ศ. 1618-1648,Thirty Years' War in Europe 1618-1648,,FALSE
joshua,110 ปี,110 years,,FALSE
joshua2,โจชัว,Joshua,,FALSE
caleb,กว่า 85 ปี,more than 85 years,,FALSE
caleb2,คาเลบ,Caleb,,FALSE
missionary1,การเดินทางเผยแผ่ศาสนาครั้งแรกของเปาโล ประมาณปี ค.ศ. ส.ศ. 47-48 กับบารนาบัสและยอห์น มาระโก,"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark",,FALSE
circumcision,ประเด็นเรื่องการเข้าสุหนัตที่เมืองอันทิโอก การประชุมใหญ่ในกรุงเยรูซาเล็ม ประมาณ ค.ศ. ส.ศ. 49,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.",,FALSE
missionary2,การเดินทางเผยแผ่ศาสนาครั้งที่สองค. ส.ศ. 49-52 กับสิลาส (ซิลวานัส),Second Missionary Journey c. 49-52 C.E with Silas (Silvanus),,FALSE
missionary3,การเดินทางเผยแผ่ศาสนาครั้งที่สาม ค. ส.ศ. 52-56,Third Missionary Journey c. 52-56 C.E.,,FALSE
caesarea,เปาโลถูกควบคุมตัวในเมืองซีซาเรียราวๆ ปี ค. ส.ศ. 56-58,Paul in custody in Caesarea c. 56-58 C.E.,,FALSE
rome1,การจำคุกครั้งแรกของเปาโลในกรุงโรมประมาณค.ศ. ส.ศ. 59-61,Paul’s first imprisonment in Rome c. 59-61 C.E.,,FALSE
rome2,"การจำคุกครั้งที่สองของเปาโลในกรุงโรมค. 65 CE, 2 ทิโมธีเขียน, เปาโลถูกประหารชีวิต","Paul’s second imprisonment in Rome c. 65 C.E., 2 Timothy written, Paul executed",,FALSE
Julius,จูเลียส,Julius,,FALSE
Augustus,ออกัสตัส,Augustus,Luke 2:1,FALSE
Tiberius,ทิเบเรียส,Tiberius,Luke 3:1,FALSE
Caligula,คาลิกูลา,Caligula,,FALSE
Claudius,คลอดิอุส,Claudius,Acts 11:28,FALSE
Nero,เนโร,Nero,,FALSE
Galba-Otho-Vitellius,กัลบา โอโท และวิเทลลิอุส (ปีที่สี่จักรพรรดิ),"Galba, Otho and Vitellius (Year of the Four Emperors)",,FALSE
Vespasian,เวสป้าเซียน,Vespasian,,FALSE
event_exodus,อพยพออกจากอียิปต์ในวันที่ 14 ไนซาน 1513 ก่อน ส.ศ.,"Exodus from Egypt on Nisan 14th, 1513 B.C.E.",,FALSE
event_division_kingdom,กองอิสราเอล 997 ปีก่อนคริสตศักราช,Division of Israel 997 BCE,,FALSE
event_destruction_samaria,ความพินาศของสะมาเรีย 740 ก่อนคริสตศักราช โดยอัสซีเรีย,Destruction of Samaria 740 B.C.E. by Assyria,Destruction of Samaria 740 B.C.E. by Assyria,FALSE
event_destruction_samaria2,740 ก่อน ส.ศ. โดยอัสซีเรีย,740 B.C.E. by Assyria,was shortened here for 2 lines,FALSE
event_destruction_jerusalem1,การ​ทำลาย​กรุง​เยรูซาเลม 607 ก่อน ส.ศ. โดยบาบิโลน 390 ปีหลังจากการแบ่งอาณาจักร (เอเสเคียล 4:5),"Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)",,FALSE
event_temple_rebuilt,วิหารในกรุงเยรูซาเลมสร้างขึ้นใหม่เมื่อ 515 ก่อนคริสตศักราช,Temple in Jerusalem rebuilt 515 B.C.E.,,FALSE
event_jerusalem_rebuilt,กำแพงกรุงเยรูซาเลมสร้างขึ้นใหม่เมื่อ 455 ก่อนคริสตศักราช,Jerusalem wall rebuilt 455 B.C.E.,,FALSE
event_destruction_jerusalem2,การทำลายกรุงเยรูซาเลมในปี ส.ศ. 70 โดยโรมภายใต้การนำของติตัส,Destruction of Jerusalem 70 C.E. by Rome under Titus,,FALSE
event_1914,สิ้นสุดสมัยของนานาชาติ (ลูกา 21:24) อาณาจักรของพระเจ้าเริ่มปกครองในสวรรค์ปี ส.ศ. 1914,"End of the time of the nations (Luke 21:24), God’s Kingdom starts to rule in heaven 1914 C.E.",include scripture Luke 21:24,FALSE
became_king,ขึ้นเป็นกษัตริย์เมื่ออายุมากขึ้น,becomes king at age,2025-04-14,FALSE
vulgate,ภูมิฐานเสร็จสมบูรณ์โดยเจอโรม (พระคัมภีร์แปลภาษาละติน) ค. ส.ศ. 405,Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E.,,FALSE
gutenberg,พระคัมภีร์กูเทนแบร์กพิมพ์ปี 1455,Gutenberg bible printed 1455,,FALSE
erasmus,ข้อความภาษากรีกของพระคัมภีร์คริสเตียนภาคภาษากรีก จัดพิมพ์โดย Desiderius Erasmus แห่งเมืองรอตเตอร์ดัม ปี 1516,Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516,,FALSE
luther,การแปลพระคัมภีร์ลูเทอร์ในเดือนกันยายน ค.ศ. 1522,Luther Bible translation in September 1522,,FALSE
tyndale,แปลพระคัมภีร์ภาษาอังกฤษโดย Tyndale 1536,English Bible translation by Tyndale 1536,,FALSE
king_james,คิงเจมส์ไบเบิล 1611,King James Bible 1611,,FALSE
69weeks3,"พระเยซูทรงเริ่มรับใช้พระองค์ ส.ศ. 29 (ลูกา 3:1, 21)","Jesus starts his service 29 CE (Luke 3:1, 21)",,FALSE
ransom,กลางสัปดาห์ “เครื่องบูชาเพื่อยุติ” ดาเนียล 9:27,middle of week “sacrifice to cease” Daniel 9:27,,FALSE
cornelius,โครเนลิอัสรับบัพติศมาเมื่อสิ้นสุดสัปดาห์ที่ 70 (ดาเนียล 9:24) ในปี ส.ศ. 36,Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E.,,FALSE
columbus,สิ้นสุดยุคพรีโคลัมเบียนในทวีปอเมริกา ค.ศ. 1492,end of the pre-columbian period in the Americas 1492,,FALSE
declaration_independence,ประกาศอิสรภาพของ 13 อาณานิคมในอเมริกา พ.ศ. 2319,declaration of independence of 13 colonies in America 1776,,FALSE
tischendorf,Tischendorf ค้นพบ Codex Sinaiticus จากศตวรรษที่ 4 ในปี 1844,Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844,,FALSE
dead_sea_scrolls,เขียนม้วนหนังสือทะเลเดดซี,Dead Sea Scrolls written,,FALSE
septuagint,พระคัมภีร์ไบเบิลฉบับ LXX แปลแล้ว,Septuagint LXX translated,,FALSE
watchtower,“หอสังเกตการณ์แห่งซีโอนและผู้ป่าวประกาศการประทับของพระคริสต์” ฉบับแรกจัดพิมพ์ในปี 1879,The first issue of “Zion’s Watch Tower and Herald of Christ’s Presence” is published in 1879,,FALSE
photodrama,“ละครภาพถ่ายแห่งการสร้างสรรค์” เริ่มฉายครั้งแรกในนิวยอร์กเมื่อวันที่ 11 มกราคม 1914,"The “Photo-Drama of Creation” is first shown in New York on January 11, 1914",,FALSE
jehovahs_witnesses,"นักศึกษาพระคัมภีร์ใช้ชื่อใหม่คือ พยานพระยะโฮวา (อิสยาห์ 43:10, 12) ในเมืองโคลัมบัส รัฐโอไฮโอ ปี 1931","The Bible Students adopt a new name – Jehovah’s Witnesses (Isaiah 43:10, 12) in Columbus, Ohio, 1931",include scripture,FALSE
gilead_school,โรงเรียนว็อชเทาเวอร์ไบเบิลแห่งกิเลียดเริ่มเมื่อวันจันทร์ที่ 1 กุมภาพันธ์ 1943,"Watchtower Bible School of Gilead begins on Monday, February 1, 1943",,FALSE
new_world_translation1,“พระคัมภีร์บริสุทธิ์ฉบับแปลโลกใหม่” ที่เมืองแมนเชสเตอร์ ประเทศอังกฤษ เมื่อวันที่ 18 มิถุนายน 1960 ได้มีการนำพระนามยะโฮวาขึ้นใหม่ในหลายส่วนของพระคัมภีร์,"“New World Translation of the Holy Scriptures” released in Manchester, England on June 18, 1960, reintroduces the name Jehovah in many parts of the Bible",hightlight reintroduction of Jehovah’s name,FALSE
truth_book,หนังสือ “ความจริงที่นำไปสู่ชีวิตนิรันดร์” ออกเมื่อปี 1968,The book “The Truth That Leads to Eternal Life” is released 1968,,FALSE
metropolitan,เริ่มประกาศในเมืองใหญ่ในปี 2011,Start of metropolitan witnessing in 2011,,FALSE
jw_org,เริ่ม JW.ORG พร้อมคำแนะนำในพันธกิจเรื่องราชอาณาจักร ธันวาคม 2012,Start of JW.ORG with instructions in kingdom ministry December 2012,,FALSE
new_world_translation2,“พระคัมภีร์บริสุทธิ์ฉบับแปลโลกใหม่” ฉบับปรับปรุงที่ออกในการประชุมประจำปี 2013 ปรับให้เหมาะสมเพื่อใช้ทั้งแบบดิจิทัลและออนไลน์,"Revised “New World Translation of the Holy Scriptures” released at annual meeting 2013, optimized to be used digitally and online",new edition with digital and online in mind,FALSE
jw_broadcasting,เริ่มออกอากาศ jw. ในเดือนตุลาคม 2014,Start of JW Broadcasting® in October 2014,,FALSE
meeting_workbook,การประชุมกลางสัปดาห์รูปแบบใหม่พร้อม “สมุดงานการประชุม” เริ่มตั้งแต่เดือนมกราคม 2559,New format of midweek meeting with “Meeting Workbook” starting January 2016,,FALSE
covid19,โควิด-19,Covid-19,,FALSE
cold_war,สถานการณ์ทางภูมิรัฐศาสตร์ที่เรียกว่า “สงครามเย็น” พ.ศ. 2488-2534,Geopolitical situation labeled “Cold War” 1945-1991,,FALSE
timeline_created,"ไทม์ไลน์นี้สร้างขึ้นในปี 2023 ปีที่ร้อนที่สุดในประวัติศาสตร์ของมนุษย์และรอบ 125,000 ปีที่ผ่านมา","This timeline is created in 2023, the hottest year in human history and the last 125,000 years",,FALSE
codex_sinaiticus,เขียนโคเด็กซ์ ไซไนติคัส,Codex Sinaiticus written,,FALSE
codex_vaticanus,เขียน Codex Vaticanus,Codex Vaticanus written,,FALSE
leningrad_codex,Leningrad Codex เขียนในไคโร AD 1008,Leningrad Codex written in Cairo AD 1008,,FALSE
john,โยฮันเขียน “วิวรณ์” ขณะถูกเนรเทศที่ปัทโมส ส.ศ. 96-98,John writes “revelation” while exiled on Patmos 96-98 C.E.,,FALSE
nicaea1,สภาแห่งแรกของไนเซีย,First Council of Nicaea,,FALSE
buddha,พระพุทธเจ้า – สิทธัตถะโคตม ประมาณ 563-483 ปีก่อนคริสตศักราช,The Buddha – Siddhartha Gautama c.563-c.483 B.C.E,,FALSE
buddha2,พระพุทธเจ้าหรือค. 480-400 ปีก่อนคริสตศักราช,Buddha alternatively c. 480-400 B.C.E.,,FALSE
mohammed,โมฮัมเหม็ดซี. ส.ศ. 570-632,Mohammed c. 570-632 C.E.,,FALSE
confucius,ขงจื๊อ ประมาณคริสตศักราช 551-479 ก่อน ส.ศ.,Confucius c.551-c.479 B.C.E.,,FALSE
hijrah,ฮิจเราะห์ - เดินทางเมกกะสู่เมดินา 16 กรกฎาคม 622,Hijrah - Journey Mecca to Medina 16 July 622,,FALSE
moses_escape,"1553 ก่อน ส.ศ. โมเสสต้องหนีออกจากอียิปต์ - อพยพ 2:15, กิจการ 7:23","1553 B.C.E. Moses has to escape Egypt – Exodus 2:15, Acts 7:23",,FALSE
10plagues,1513 ก่อนคริสตศักราช อียิปต์ได้รับภัยพิบัติ 10 ครั้ง,1513 B.C.E Egypt receives 10 plagues,,FALSE
joseph_sold,โยเซฟขายไปเป็นทาสเมื่ออายุ 17 ปี - ปฐมกาล 37:2,Joseph sold as slave at the age of 17 – Gen 37:2,,FALSE
infliction,ความทุกข์ยาก 400 ปี (กิจการ 7:6) – อิชมาเอล 1913 ก่อนคริสตศักราช,400 year infliction (Acts 7:6) – Ishmael 1913 B.C.E,,FALSE
Alexander,อเล็กซานเดอร์มหาราช (ดาเนียล 11:3),Alexander the Great (Daniel 11:3),,FALSE
persia,"ไซรัสมหาราช, แคมบายเซสที่ 2, ดาริอัสที่ 1 490 ปีก่อนคริสตศักราช, เซอร์ซีสที่ 1 480 ปีก่อนคริสตกาล (สามีของเอสเธอร์ ดาเนียล 11:2)","Cyrus the Great, Cambyses II, Darius I 490 BCE, Xerxes I 480 BCE (husband of Esther, Daniel 11:2)",,FALSE
persia2,เปอร์เซีย,Persia,,FALSE
king_north,"Seleucus I Nicator (v5) ซีเรียถึง Antiochus III (v10) และ Seleucus IV (v18, 19) ลงไปถึง Octavian (v20) และ Tiberius (v21-24)","Seleucus I Nicator (v5) Syria to Antiochus III (v10) and Seleucus IV (v18, 19) down to Octavian (v20) and Tiberius (v21-24)",,FALSE
king_north1,กษัตริย์แห่งทิศเหนือ,King of the North,,FALSE
king_south,"ปโตเลมีที่ 1, II, III, IV (ข้อ 11, 12), V (ข้อ 15, 16) ถึงการรบที่อักทิอุม 31 ก่อนคริสตศักราช","Ptolemy I, II, III, IV (v11, 12), V (v15, 16) to the battle Actium 31 B.C.E.",,FALSE
king_south1,กษัตริย์แห่งแดนใต้,King of the South,,FALSE
king_south2,จักรวรรดิอังกฤษ พ.ศ. 2413 มหาอำนาจแองโกล-อเมริกัน ตั้งแต่ปี พ.ศ. 2457,"British empire 1870, Anglo-American World Power since 1914",,FALSE
king_south3,กษัตริย์แห่งแดนใต้,King of the South,,FALSE
king_north2,"เยอรมนีกับจักรพรรดิวิลเลียมที่ 1 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)","Germany with Emperor William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)",,FALSE
king_north3,ทิศเหนือ,North,,FALSE
king_north4,"สหภาพโซเวียต พ.ศ. 2488-2534 (ดาเนียล 11:32-39, 40ข, 41)","Soviet Union 1945-1991 (Daniel 11:32-39, 40b, 41)",,FALSE
king_north5,รัสเซียตั้งแต่ปี 2017 (ห 20 พฤษภาคม),Russia since 2017 (w20 May),,FALSE
time_of_end,การปรากฏของพระคริสต์ การสิ้นสุดของระบบ (มัทธิว 24:3) วาระสุดท้าย (2 ทิโมธี 3:1),"Presence of Christ, Conclusion of the system of things (Matthew 24:3), the last days (2 Timothy 3:1)",scriptures written out,FALSE
time_of_end2,วันสุดท้าย,Last days,,FALSE
suryavaman2,พระเจ้าสุริยวรมันที่ 2 ทรงสร้างนครวัด 1113-1150,King Suryavarman II builds Angkor Wat 1113-1150,,FALSE
notre-dame,น็อทร์-ดามแห่งปารีส สร้างขึ้นในปี ค.ศ. 1163-1260,Notre-Dame de Paris built 1163-1260,,FALSE
jehoiada,เยโฮยาดา,Jehoiada,2 Kings 11:4,FALSE
babel,หอคอยแห่งบาเบลที่สร้างขึ้น,Tower of Babel built,,FALSE
Haggai,ฮักไก,Haggai,,FALSE
Zerubbabel,เศรุบบาเบล (ลูกา 3:27),Zerubbabel (Luke 3:27),Luke 3:27,FALSE
Babylon,"ดาเนียล 2:32, 36-38; 7:4","Daniel 2:32, 36-38; 7:4",,FALSE
Medopersia,"ดาเนียล 2:32, 39; 7:5","Daniel 2:32, 39; 7:5",,FALSE
Greece,"ดาเนียล 2:32, 39; 7:6","Daniel 2:32, 39; 7:6",,FALSE
Rome,"ดาเนียล 2:33, 40; 7:7","Daniel 2:33, 40; 7:7",,FALSE
Angloamerica,"ดาเนียล 2:33, 41-43","Daniel 2:33, 41-43",,FALSE
Babylon_c,บาบิโลน,Babylon,,FALSE
Medopersia_c,มิโด-เปอร์เซีย,Medo-Persia,,FALSE
Greece_c,กรีซ,Greece,,FALSE
Rome_c,โรม,Rome,,FALSE
Angloamerica_c,แองโกล-อเมริกา,Anglo-America,,FALSE
infliction1,ความทุกข์ยาก 400 ปี,400 year infliction,Acts 7:6,FALSE
infliction2,กิจการ 7:6,Acts 7:6,,FALSE
Jacob2,เจคอบ/,Jacob/,Jacob/Israel 1858-1711 – 147 years,FALSE
Israel,อิสราเอล,Israel,Genesis 35:10,FALSE
Sarah,ซาราห์,Sarah,"2008-1881 BCE – 127 years, Isaiah 51:2",FALSE
Hagar,ฮาการ์,Hagar,Genesis 21:14,FALSE
Haran,ฮาราน,Haran,Genesis 11:26,FALSE
Reumah,เรอูมาห์,Reumah,Concubine – 4 sons 22:24,FALSE
Milcah,มิลก้า,Milcah,8 sons (Bethuel and 7 more),FALSE
Lot,มาก,Lot,Genesis 11:27,FALSE
Lots_wife,ภรรยาของโลต,Lot’s wife,,FALSE
Lots_daughters,ธิดาของโลท,Daughters of Lot,,FALSE
Moab,โมอับ (ลูกสาวคนโต),Moab (older daughter),Genesis 19:37,FALSE
Ammon,เบนอัมมี (อัมโมน),Ben-ammi (Ammon),Genesis 19:38,FALSE
Bethuel,เบธูเอล,Bethuel,Genesis 22:23,FALSE
Rebekah,รีเบคก้า,Rebekah,,FALSE
Laban,ลาบัน,Laban,Genesis 24:29,FALSE
Leah,ลีอาห์,Leah,Genesis 35:23,FALSE
Rachel,ราเชล,Rachel,Genesis 35:24,FALSE
Bilhah,บิลฮาห์,Bilhah,Genesis 35:25,FALSE
Zilpah,ศิลปาห์,Zilpah,Genesis 35:26,FALSE
Reuben,รูเบน,Reuben,,FALSE
Simeon,สิเมโอน,Simeon,,FALSE
Levi,ลีวายส์,Levi,Genesis 35:23,FALSE
Judah,ยูดาห์,Judah,,FALSE
Issachar,อิสสาคาร์,Issachar,,FALSE
Zebulun,เซบูลุน,Zebulun,,FALSE
Dinah,ไดนาห์,Dinah,Genesis 34,FALSE
Esau,เอซาว/,Esau/,,FALSE
Edom,เอโดม,Edom,Genesis 36:1,FALSE
Ishmael,อิชมาเอล,Ishmael,Genesis 16:16,FALSE
Manasseh2,(มนัสเสห์,(Manasseh,Genesis 41:50-52,FALSE
Ephraim,และเอฟราอิม),and Ephraim),,FALSE
Benjamin,เบนจามิน,Benjamin,,FALSE
Dan,แดน,Dan,Genesis 35:23,FALSE
Naphtali,นัฟทาลี,Naphtali,,FALSE
Gad,กาด,Gad,,FALSE
Asher,อาเชอร์,Asher,,FALSE
Milcah1,"อูซ, บูซ, เคมูเอล,","Uz, Buz, Kemuel,",Genesis 22:21,FALSE
Milcah2,"เชส, ฮาโซ,","Chesed, Hazo,",,FALSE
Milcah3,"พิลดาช, จิดลาฟ","Pildash, Jidlaph",,FALSE
Tebah,เตบาห์,Tebah,Genesis 22:24,FALSE
Gaham,กาฮัม,Gaham,,FALSE
Tahash,ทาฮาช,Tahash,,FALSE
Maacah,มาอาคาห์,Maacah,,FALSE
Mahalath,มหาลัท/,Mahalath/,"Genesis 28:8, 9",FALSE
Basemath,เบสแมท,Basemath,"Genesis36:3, 4",FALSE
Reuel,รูเอล,Reuel,"36:13, 17",FALSE
Nahath,นาหัต,Nahath,,FALSE
Zerah,เซราห์,Zerah,,FALSE
Schammah,ชัมมาห์,Schammah,,FALSE
